Account Name,Serial Number,Node Serial Number,Cluster Name,Cluster UUID,Account Executive,Account Executive Email,Asset Model,Asset Age,Model Family,Asset Status,Node Count (Operational),Node Count (Assets),AOS Version,Node License Mode,Hypervisor Type,Hypervisor Version,Install Location,Ship Date,Last Pulse Date,SSD Capacity (In TiB),SSD Capacity (In TB),HDD Capacity (In TiB),HDD Capacity (In TB),CPU Core Count,Contract Coverage,Contract Status,Contract Start Date,Contract End Date,Break Fix Contact Phone,Break Fix Contact Email,Asset EOL,Asset EOM,Order Type,Region,Sub Region,Incumbent Reseller,Incumbent Distributor,Cluster Tag,Sales Order,Asset Tag (Internal),Install Country,Install Zip,Install Base Address,Prior Contract End Date
"Inter Pipeline Fund",22SG6N410023,"HM224S000827, HM224S001254, HM224S001263","iplp2-nutanixcls01",00060f8d-51ce-5480-7165-7cc255072a2e,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1365N-G8-CM,2,"NX-1065N","Shipped",3,3,"6.10.1.5",NX-SWO,"AHV","20230302","Calgary",2022-11-03,2025-10-23 00:00,10.48 TiB,11.52 TB,39.58 TiB,36 TB,48,"Production: 24x7 service; NBD parts",Under Support,2022-11-03,2028-11-01,"-","-",Jul 2029,Jan 2028,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Long View Systems - Canada","Ingram Micro Canada","-","SO-142594","-","CANADA (CA)","T2A 6T8","100-3015 5 AVENUE NE, Calgary, Alberta, CANADA (CA), T2A 6T8","2025-11-02"
"Inter Pipeline Fund",22SW000262804,"-","ipl-nutanixcls01",000609c1-da9d-95fc-6e97-7cc25581f0d1,"Scott Sefcik","scott.sefcik@nutanix.com",SW-NCI-PRO-PR,2,"Software Only","Shipped",-,-,"6.10.1.5",NX-SWO,"AHV","-","Calgary",2022-11-03,2025-10-23 00:00,-,-,-,-,-,"Production: 24x7 service; NBD parts",Under Support,2022-11-03,2028-11-01,"-","-",-,-,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Long View Systems - Canada","Ingram Micro Canada","-","SO-142594","-","CANADA (CA)","T2A 6T8","100-3015 5 AVENUE NE, Calgary, Alberta, CANADA (CA), T2A 6T8","2025-11-02"
"Inter Pipeline Fund",23SG3G360042,"HM238S003653, HM238S003680","ipl-nutanixcls01",000609c1-da9d-95fc-6e97-7cc25581f0d1,"Scott Sefcik","scott.sefcik@nutanix.com",NX-8235N-G8-CM,2,"NX-8035N","Shipped",2,2,"6.10.1.5",NX-SWO,"AHV","20230302","Airdrie",2023-09-18,2025-10-23 00:00,27.94 TiB,30.72 TB,158.33 TiB,144 TB,96,"Production: 24x7 service; NBD parts",Under Support,2023-09-18,2026-09-17,"-","-",Jul 2029,Jan 2028,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Long View Systems - Canada","ARROW ECS CANADA","-","SO-166415","-","CANADA (CA)","T4A 0R1","100-34 HIGHLAND PARK WAY NE, Airdrie, AB, CANADA (CA), T4A 0R1","-"
"Inter Pipeline Fund",23SG3G360050,"HM238S003505, HM238S003558","ipl-nutanixcls01",000609c1-da9d-95fc-6e97-7cc25581f0d1,"Scott Sefcik","scott.sefcik@nutanix.com",NX-8235N-G8-CM,2,"NX-8035N","Shipped",2,2,"6.10.1.5",NX-SWO,"AHV","20230302","Airdrie",2023-09-18,2025-10-23 00:00,27.94 TiB,30.72 TB,158.33 TiB,144 TB,96,"Production: 24x7 service; NBD parts",Under Support,2023-09-18,2026-09-17,"-","-",Jul 2029,Jan 2028,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Long View Systems - Canada","ARROW ECS CANADA","-","SO-166415","-","CANADA (CA)","T4A 0R1","100-34 HIGHLAND PARK WAY NE, Airdrie, AB, CANADA (CA), T4A 0R1","-"
"Inter Pipeline Fund",23SG5N460033,"OM23AS019372","iplp1-nutanixcls01",00060e9b-e7e5-e852-5e9a-00e0ededd6a6,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1175S-G8-CM,1,"NX-1175S","Shipped",1,1,"6.10.1.5",NX-SWO,"AHV","20230302","Calgary",2023-11-30,2025-10-23 00:00,3.49 TiB,3.84 TB,13.19 TiB,12 TB,16,"Production: 24x7 service; NBD parts",Under Support,2023-11-30,2026-11-29,"-","-",Jul 2029,Jan 2028,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Long View Systems - Canada","ARROW ECS CANADA","-","SO-171863","-","CANADA (CA)","T2P 1M4","215 2 ST SW SUITE 3200, Calgary, AB, CANADA (CA), T2P 1M4","-"
"Inter Pipeline Fund",23SG5N460045,"OM23AS019524","iplp1-nutanixcls01",00060e9b-e7e5-e852-5e9a-00e0ededd6a6,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1175S-G8-CM,1,"NX-1175S","Shipped",1,1,"6.10.1.5",NX-SWO,"AHV","20230302","Calgary",2023-11-30,2025-10-23 00:00,3.49 TiB,3.84 TB,13.19 TiB,12 TB,16,"Production: 24x7 service; NBD parts",Under Support,2023-11-30,2026-11-29,"-","-",Jul 2029,Jan 2028,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Long View Systems - Canada","ARROW ECS CANADA","-","SO-171863","-","CANADA (CA)","T2P 1M4","215 2 ST SW SUITE 3200, Calgary, AB, CANADA (CA), T2P 1M4","-"
"Inter Pipeline Fund",23SG5N500017,"OM23AS019214","iplsp-nutanixcls01",00060e87-b089-acec-47b7-00e0ededb161,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1175S-G8-CM,1,"NX-1175S","Shipped",1,1,"6.10.1.5",NX-SWO,"AHV","20230302","Calgary",2023-12-26,2025-10-23 00:00,3.49 TiB,3.84 TB,13.19 TiB,12 TB,8,"Production: 24x7 service; NBD parts",Under Support,2023-12-26,2026-12-25,"-","-",Jul 2029,Jan 2028,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Long View Systems - Canada","ARROW ECS CANADA","-","SO-173697","-","CANADA (CA)","T2P 1M4","3200-215 2 ST SW, Calgary, AB, CANADA (CA), T2P 1M4","-"
"Inter Pipeline Fund",23SG5N500022,"OM23AS019232","iplsp-nutanixcls01",00060e87-b089-acec-47b7-00e0ededb161,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1175S-G8-CM,1,"NX-1175S","Shipped",1,1,"6.10.1.5",NX-SWO,"AHV","20230302","Calgary",2023-12-26,2025-10-23 00:00,3.49 TiB,3.84 TB,13.19 TiB,12 TB,8,"Production: 24x7 service; NBD parts",Under Support,2023-12-26,2026-12-25,"-","-",Jul 2029,Jan 2028,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Long View Systems - Canada","ARROW ECS CANADA","-","SO-173697","-","CANADA (CA)","T2P 1M4","3200-215 2 ST SW, Calgary, AB, CANADA (CA), T2P 1M4","-"
"Inter Pipeline Fund",23SW000309914,"-","iplp1-nutanixcls01",00060e9b-e7e5-e852-5e9a-00e0ededd6a6,"Scott Sefcik","scott.sefcik@nutanix.com",SW-NCI-PRO-PR,2,"Software Only","Shipped",-,-,"6.10.1.5",NX-SWO,"AHV","-","Airdrie",2023-09-18,2025-10-23 00:00,-,-,-,-,-,"Production: 24x7 service; NBD parts",Under Support,2023-09-18,2026-09-17,"-","-",-,-,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Long View Systems - Canada","ARROW ECS CANADA","-","SO-166415","-","CANADA (CA)","T4A 0R1","100-34 HIGHLAND PARK WAY NE, Airdrie, AB, CANADA (CA), T4A 0R1","-"
"Inter Pipeline Fund",23SW000309914,"-","ipl-nutanixcls01",000609c1-da9d-95fc-6e97-7cc25581f0d1,"Scott Sefcik","scott.sefcik@nutanix.com",SW-NCI-PRO-PR,2,"Software Only","Shipped",-,-,"6.10.1.5",NX-SWO,"AHV","-","Airdrie",2023-09-18,2025-10-23 00:00,-,-,-,-,-,"Production: 24x7 service; NBD parts",Under Support,2023-09-18,2026-09-17,"-","-",-,-,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Long View Systems - Canada","ARROW ECS CANADA","-","SO-166415","-","CANADA (CA)","T4A 0R1","100-34 HIGHLAND PARK WAY NE, Airdrie, AB, CANADA (CA), T4A 0R1","-"
