Cluster Name,Cluster UUID,Account Name,Account Executive Email,Account Executive,Theater,Region,Sub-Region,Storage Container Name,Storage Container UUID,Storage Pool Name,Storage Pool UUID,Compression Type,Finger Print Enabled,Replication Factor,Compression Enabled,Deduplication Enabled,Erasure Coding Enabled,Implicit Reserved Capacity (In TiB),Explicit Reserved Capacity (In TiB),Dedup Policy,Erasure Code,AOS/PC Version,NCC Version,Cluster Fault Tolerance,Last Pulse
"iplp2-nutanixcls01",00060f8d-51ce-5480-7165-7cc255072a2e,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,default-container-61671650496970,0d240e6c-e0a9-44e5-9c80-2385ac0f5232,default-storage-pool-61671650496970,98761bfe-80e8-4777-a7e4-a1de0771b13a,-,False,2,False,False,False,-,-,-,-,"6.10.1.5","5.0.1.1","FT1/RF2",2025-10-23
"iplrw-nutanixcls01",00062bb0-c88d-f6ed-39fb-7cc255e9ad65,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,NutanixManagementShare,14519f4e-6b2a-4243-a8bc-6168f6c8ced4,default-storage-pool-54207766752030,86f777aa-054c-4778-ba94-d79aa6c5aef3,0.0,False,2,True,False,False,-,-,-,-,"6.10","5.0.1.1","FT1/RF2",2025-10-23
"iplhpc-nutanixcls01",00062b22-51fd-bd09-3dc3-7cc255815dc7,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,Nutanix_iplhpc-ntnxfs01_ctr,2f2a20b9-ae5f-4cc6-be82-1fa97262c7c3,default-storage-pool-24183928857892,785f51fb-070f-41b7-978f-4b0c19652dd5,0.0,False,2,True,False,True,-,0,0.0,*/1,"6.10","5.1.2","FT1/RF2",2025-10-23
"iplhpc-nutanixcls01",00062b22-51fd-bd09-3dc3-7cc255815dc7,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,default-container-24183928857892,313a700a-18cd-413a-87f5-7720aa8557e2,default-storage-pool-24183928857892,785f51fb-070f-41b7-978f-4b0c19652dd5,-,False,2,False,False,False,-,-,-,-,"6.10","5.1.2","FT1/RF2",2025-10-23
"iplsp-nutanixcls01",00060e87-b089-acec-47b7-00e0ededb161,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,default-container-724999805112,31507111-b35b-430f-a955-85fbf2f9dd36,default-storage-pool-724999805112,e54aa3cb-92ce-47bf-9064-a1611d83a668,-,False,2,False,False,False,-,-,-,-,"6.10.1.5","5.1.1","FT1/RF2",2025-10-23
"AZ-NC2CLS01",0006274a-7999-8126-4f01-6ebc42cd4bf1,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,NutanixManagementShare,3c5fbbd4-2c4c-4f25-8770-3782e9ba8adf,default-storage-pool-68617457451135,7877e961-8d5b-46a1-b518-44ba40b9b641,0.0,False,2,True,False,False,-,-,-,-,"7.3","5.2.0","FT1/RF2",2025-10-23
"iplhpc-nutanixcls01",00062b22-51fd-bd09-3dc3-7cc255815dc7,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,SelfServiceContainer,3f0b1a52-b75f-4e8c-a7bb-679953869d11,default-storage-pool-24183928857892,785f51fb-070f-41b7-978f-4b0c19652dd5,-,False,2,False,False,False,-,-,-,-,"6.10","5.1.2","FT1/RF2",2025-10-23
"AZ-NC2CLS01",0006274a-7999-8126-4f01-6ebc42cd4bf1,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,default-container-68617457451135,44adebba-64c5-40b7-a460-9b02f0728aad,default-storage-pool-68617457451135,7877e961-8d5b-46a1-b518-44ba40b9b641,-,False,2,False,False,False,-,-,-,-,"7.3","5.2.0","FT1/RF2",2025-10-23
"iplp1-nutanixcls01",00060e9b-e7e5-e852-5e9a-00e0ededd6a6,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,NutanixManagementShare,563760c4-24d2-462a-ab93-842a0ea1fa13,default-storage-pool-68902713866448,9a57f664-bd49-49c7-9cea-d3147f012d5c,0.0,False,2,True,False,False,-,-,-,-,"6.10.1.5","5.1.1","FT1/RF2",2025-10-23
"iplp1-nutanixcls01",00060e9b-e7e5-e852-5e9a-00e0ededd6a6,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,SelfServiceContainer,57476b94-6923-46ab-8008-fb552a43a82a,default-storage-pool-68902713866448,9a57f664-bd49-49c7-9cea-d3147f012d5c,-,False,2,False,False,False,-,-,-,-,"6.10.1.5","5.1.1","FT1/RF2",2025-10-23
"iplrw-nutanixcls01",00062bb0-c88d-f6ed-39fb-7cc255e9ad65,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,SelfServiceContainer,5bbff34b-ce1b-4ba7-a04d-949ed3e0dccf,default-storage-pool-54207766752030,86f777aa-054c-4778-ba94-d79aa6c5aef3,-,False,2,False,False,False,-,-,-,-,"6.10","5.0.1.1","FT1/RF2",2025-10-23
"iplsp-nutanixcls01",00060e87-b089-acec-47b7-00e0ededb161,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,NutanixManagementShare,6ae1cfb1-4b92-4879-8cf1-78d9c1ffc1c5,default-storage-pool-724999805112,e54aa3cb-92ce-47bf-9064-a1611d83a668,0.0,False,2,True,False,False,-,-,-,-,"6.10.1.5","5.1.1","FT1/RF2",2025-10-23
"ipl-nutanixcls01",000609c1-da9d-95fc-6e97-7cc25581f0d1,"Inter Pipeline Fund","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,default-container-13905782966357,70e1ff0c-65af-4069-99c4-9026eb39e591,Not Found,Not Found,-,False,2,False,False,False,-,-,-,-,"6.10.1.5","5.1.2","FT1/RF2",2025-10-23
