Node UUID,Node Serial Number,Node Model,Node License Mode,Install Location,Cluster Name,Contract Status,Account Name,Account Executive,Account Executive Email,Incumbent Reseller,Incumbent Distributor,Cluster UUID,Block Serial Number,Node Vendor,Model Family,Model Group,BIOS Vendor,BIOS Version,BIOS Revision,BIOS ROM Size (in MiB),BMC Manufacturer,BMC Version,Storage Controller Manufacturer,Storage Controller Part Number,Storage Controller Version,Satadom Device Model,Satadom Version,NIC Manufacturer,NIC Version,NIC Firmware Version,NIC Location,Drive Configuration,SSD Part No,SSD Version,HDD Part No,HDD Version,NVME Part No,NVME Version,M.2 SSD Part No,M.2 SSD Version,M.2 HDD Part No,M.2 HDD Version,CPU Cores,Enabled Core Count,CPU Sockets,CPU Core Count Per Socket,CPU Version,Processor Family,CPU Max Speed,CPU Speed,GPU Vendor,GPU Sub-Vendor,GPU Device,GPU Sub Device,GPU Class,GPU Revision,GPU Slot,No. of GPUs,Total Memory Capacity,Quantity Of Memory Sticks Per Node,Memory Capacity Per Node (in GiB),Used Memory Capacity (in GiB),Available Memory Capacity,Total Storage Capacity,Used Storage Capacity,Available Storage Capacity,Total SSD Capacity,Used SSD Capacity,Available SSD Capacity,Total HDD Capacity,Used HDD Capacity,Available HDD Capacity,No. of SSDs,No. of HDDs,No. of NVMes,No. of M.2 SSDs,No. of M.2 HDDs,VM Count,Hypervisor Type,Hypervisor Version,LCM Version,Install Country,Install Zip,Last Pulse Date,Contract Coverage,Contract Start Date,Prior Contract End Date,Contract End Date,Primary Contact,CVM vCPU,CVM Memory,CVM Uptime,Customer Experience Manager (CXM),Theater,Region,Sub Region
2b22f8e2-caee-4c9d-a834-bdaec8df6b93,"HM238S003505",NX-8035-G8,NX-SWO,"Airdrie","ipl-nutanixcls01",Under Support,"Inter Pipeline Fund","Scott Sefcik","scott.sefcik@nutanix.com","Long View Systems - Canada","ARROW ECS CANADA",000609c1-da9d-95fc-6e97-7cc25581f0d1,"23SG3G360050","Nutanix","NX G8",NX-8035N-G8,"American Megatrends International, LLC.","WB61.101",5.22,31.25,"SuperMicro","8.02.02","Intel Corporation, Broadcom / LSI",", SAS3808(A0)",", 31.00.00.01","Not Found","-","Intel Corporation(8086), Intel Corporation(8086)","2.24.6, 2.24.6","8.50 0x8000b703 1.3082.0, 8.50 0x8000c29f 1.3082.0","eth0
eth1
eth2
eth3
eth4
eth5","HDD + SSD","KRM61RUG7T68","0105","WDC  WUH721818ALE6L4","PCGNW8C2","-","-","-","-","-","-","48","48","2","24","Intel(R) Xeon(R) Gold 6336Y CPU @ 2.40GHz","Ice Lake",4500,"2400","ASPEED Technology, Inc.","Super Micro Computer Inc","ASPEED Graphics Family","Subsystem device 1b6a","Display controller:VGA compatible controller:VGA controller","82","0000:04:00.0","1",1007.00,"16","62.94",457.43,549.57,83.27,31.25,52.02,13.97,8.97,6.03,65.48,17.59,52.72,2,4,"0",-,-,21,"AHV","20230302","3.2.1.71663","CANADA (CA)","T4A 0R1",2025-10-22,"Production: 24x7 service; NBD parts",2023-09-18,"-",2026-09-17,"-",14,40.00 GiB,119 days and 19:54:26,"-","Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West"
2b91f859-c756-4178-9554-485e3fc70c41,"HM238S003558",NX-8035-G8,NX-SWO,"Airdrie","ipl-nutanixcls01",Under Support,"Inter Pipeline Fund","Scott Sefcik","scott.sefcik@nutanix.com","Long View Systems - Canada","ARROW ECS CANADA",000609c1-da9d-95fc-6e97-7cc25581f0d1,"23SG3G360050","Nutanix","NX G8",NX-8035N-G8,"American Megatrends International, LLC.","WB61.101",5.22,31.25,"SuperMicro","8.02.02","Intel Corporation, Broadcom / LSI",", SAS3808(A0)",", 31.00.00.01","Not Found","-","Intel Corporation(8086), Intel Corporation(8086)","2.24.6, 2.24.6","8.50 0x8000b703 1.3082.0, 8.50 0x8000c29f 1.3082.0","eth0
eth1
eth2
eth3
eth4
eth5","HDD + SSD","KRM61RUG7T68","0105","WDC  WUH721818ALE6L4","PCGNW8C2","-","-","-","-","-","-","48","48","2","24","Intel(R) Xeon(R) Gold 6336Y CPU @ 2.40GHz","Ice Lake",4500,"2400","ASPEED Technology, Inc.","Super Micro Computer Inc","ASPEED Graphics Family","Subsystem device 1b6a","Display controller:VGA compatible controller:VGA controller","82","0000:04:00.0","1",1007.00,"16","62.94",449.27,557.73,83.27,27.99,55.28,13.97,7.44,7.56,65.48,16.50,53.81,2,4,"0",-,-,21,"AHV","20230302","3.2.1.71663","CANADA (CA)","T4A 0R1",2025-10-22,"Production: 24x7 service; NBD parts",2023-09-18,"-",2026-09-17,"-",14,40.00 GiB,119 days and 19:53:47,"-","Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West"
385820c3-fac3-4133-b6da-fb0eeacd9bd2,"OM23AS019214",NX-1175S-G8,NX-SWO,"Calgary","iplsp-nutanixcls01",Under Support,"Inter Pipeline Fund","Scott Sefcik","scott.sefcik@nutanix.com","Long View Systems - Canada","ARROW ECS CANADA",00060e87-b089-acec-47b7-00e0ededb161,"23SG5N500017","Nutanix","NX G8",NX-1175S-G8,"American Megatrends International, LLC.","WW61.101",5.22,31.25,"SuperMicro","8.02.02","Broadcom / LSI","SAS3816(A0)","31.00.00.01","Not Found","-","Intel Corporation(8086), Intel Corporation(8086)","5.19.9, 5.19.9","0x800016dc, 1.3082.0, 0x8000174b, 1.3105.0","eth0
eth1
eth2
eth3","HDD + SSD","SAMSUNG MZ7L31T9HBLT-00A07","JXTC604Q","ST6000NM019B-2TG103","SN04","-","-","-","-","-","-","8","8","1","8","Intel(R) Xeon(R) Gold 5315Y CPU @ 3.20GHz","Ice Lake",4500,"3200","ASPEED Technology, Inc.","Super Micro Computer Inc","ASPEED Graphics Family","Subsystem device 1b62","Display controller:VGA compatible controller:VGA controller","82","0000:04:00.0","1",124.93,"2","62.46",56.38,68.54,14.48,0.99,13.49,3.49,0.83,2.92,10.91,0.06,11.66,2,2,"0",-,-,3,"AHV","20230302","3.2.66484","CANADA (CA)","T2P 1M4",2025-10-22,"Production: 24x7 service; NBD parts",2023-12-26,"-",2026-12-25,"-",8,32.00 GiB,119 days and 12:44:22,"-","Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West"
4929fe75-7d05-49b3-a3ad-b93bfa518a0c,"WM24BS002056",NX-1175S-G9,NX-SWO,"Calgary","iplrw-nutanixcls01",Under Support,"Inter Pipeline Fund","Scott Sefcik","scott.sefcik@nutanix.com","Long View Systems - Canada","Ingram Micro Canada",00062bb0-c88d-f6ed-39fb-7cc255e9ad65,"24SH5T500530","Nutanix","NX G9",NX-1175S-G9,"American Megatrends International, LLC.","EW30.101",5.32,31.25,"SuperMicro","1.01.5","Intel Corporation","-","-","Not Found","-","Broadcom Inc. and subsidiaries(14e4), Intel Corporation(8086)","1.10.2-226.0.141.0, 5.19.9","223.0.161.0/pkg 223.1.96.0, 0x8000172d, 1.3429.0","eth0
eth1
eth2
eth3","All NVMe","-","-","-","-","SAMSUNG MZQL23T8HCLS-00A07","GDC5A02Q","-","-","-","-","12","12","1","12","Intel(R) Xeon(R) Silver 4410Y","Sapphire Rapids",4200,"2000","ASPEED Technology, Inc.","Super Micro Computer Inc","ASPEED Graphics Family","Subsystem device 1c51","Display controller:VGA compatible controller:VGA controller","82","0000:03:00.0","1",187.67,"6","31.28",52.74,134.93,6.57,0.39,6.18,No data received in last 24 hours,0.35,-,-,0,-,-,-,"2",-,-,3,"AHV","20230302","3.2.66484","CANADA (CA)","T2P 1M4",2025-10-22,"Production: 24x7 service; NBD parts",2024-12-31,"-",2027-12-30,"-",12,32.00 GiB,260 days and 12:53:16,"-","Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West"
563bef1d-4115-4b97-ac8f-6c6c0b8d8c70,"HM224S000827",NX-1065-G8,NX-SWO,"Calgary","iplp2-nutanixcls01",Under Support,"Inter Pipeline Fund","Scott Sefcik","scott.sefcik@nutanix.com","Long View Systems - Canada","Ingram Micro Canada",00060f8d-51ce-5480-7165-7cc255072a2e,"22SG6N410023","Nutanix","NX G8",NX-1065N-G8,"American Megatrends International, LLC.","WB61.101",5.22,31.25,"SuperMicro","8.02.2","Intel Corporation, Broadcom / LSI",", SAS3808(A0)",", 25.00.00.01","Not Found","-","Broadcom Inc. and subsidiaries(14e4), Mellanox Technologies(15b3)","1.10.2-226.0.141.0, 23.10-2.1.3","220.0.59.0/pkg 220.0.83.0, 16.31.1014 (MT_0000000425)","eth0
eth1
eth2
eth3","HDD + SSD","SAMSUNG MZ7L33T8HBLT-00A07","JXTC604Q","HGST HUS726T6TALE6L4","VKGNW9U0","-","-","-","-","-","-","16","16","2","8","Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz","Ice Lake",4500,"2800","ASPEED Technology, Inc.","Super Micro Computer Inc","ASPEED Graphics Family","Subsystem device 1b6a","Display controller:VGA compatible controller:VGA controller","82","0000:04:00.0","1",251.02,"4","62.75",57.14,193.87,14.47,0.73,13.74,3.49,0.61,3.14,10.91,0.05,11.67,1,2,"0",-,-,3,"AHV","20230302","3.2.66484","CANADA (CA)","T2A 6T8",2025-10-22,"Production: 24x7 service; NBD parts",2022-11-03,"2025-11-02",2028-11-01,"-",8,32.00 GiB,147 days and 00:09:37,"-","Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West"
564a7717-a9a3-4064-8615-564f5390f415,"OM23AS019524",NX-1175S-G8,NX-SWO,"Calgary","iplp1-nutanixcls01",Under Support,"Inter Pipeline Fund","Scott Sefcik","scott.sefcik@nutanix.com","Long View Systems - Canada","ARROW ECS CANADA",00060e9b-e7e5-e852-5e9a-00e0ededd6a6,"23SG5N460045","Nutanix","NX G8",NX-1175S-G8,"American Megatrends International, LLC.","WW61.101",5.22,31.25,"SuperMicro","8.02.02","Broadcom / LSI","SAS3816(A0)","25.00.00.01","Not Found","-","Intel Corporation(8086), Intel Corporation(8086)","5.19.9, 5.19.9","0x800016dc, 1.3082.0, 0x8000174b, 1.3105.0","eth0
eth1
eth2
eth3","HDD + SSD","SAMSUNG MZ7L31T9HBLT-00A07","JXTC604Q","ST6000NM019B-2TG103","SN04","-","-","-","-","-","-","16","16","1","16","Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz","Ice Lake",4500,"2900","ASPEED Technology, Inc.","Super Micro Computer Inc","ASPEED Graphics Family","Subsystem device 1b62","Display controller:VGA compatible controller:VGA controller","82","0000:04:00.0","1",250.83,"4","62.71",89.42,161.41,14.48,0.57,13.91,3.49,0.50,3.25,10.91,0.01,11.71,2,2,"0",-,-,4,"AHV","20230302","3.2.66484","CANADA (CA)","T2P 1M4",2025-10-22,"Production: 24x7 service; NBD parts",2023-11-30,"-",2026-11-29,"-",12,32.00 GiB,124 days and 21:53:53,"-","Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West"
60e6e257-378f-4e35-b23c-72e5657ff4e8,"HM234S002311",NX-1065-G9,NX-SWO,"Calgary","iplhpc-nutanixcls01",Under Support,"Inter Pipeline Fund","Scott Sefcik","scott.sefcik@nutanix.com","Long View Systems - Canada","Ingram Micro Canada",00062b22-51fd-bd09-3dc3-7cc255815dc7,"24SG6Q410020","Nutanix","NX G9",NX-1065-G9,"American Megatrends International, LLC.","EB30.101",5.32,31.25,"SuperMicro","1.01.04","Broadcom / LSI","SAS3808(A0)","25.00.00.01","Not Found","-","Broadcom Inc. and subsidiaries(14e4), Broadcom Inc. and subsidiaries(14e4)","1.10.2-226.0.141.0, 1.10.2-226.0.141.0","218.0.226.0/pkg 218.0.300.0, 226.0.145.0/pkg 226.1.107.1","eth0
eth1
eth2
eth3","HDD + SSD","KRM71RUG7T68","0103","WUH721818AL5204","C6A0","-","-","-","-","-","-","20","20","2","10","Intel(R) Xeon(R) Silver 4410T","Sapphire Rapids",4200,"2700","ASPEED Technology, Inc.","Super Micro Computer Inc","ASPEED Graphics Family","Subsystem device 1c77","Display controller:VGA compatible controller:VGA controller","82","0000:02:00.0","1",754.12,"12","62.84",399.65,354.47,41.36,13.77,27.59,6.98,4.11,3.39,32.74,7.79,27.37,1,2,"0",-,-,27,"AHV","20230302","3.2.66484","CANADA (CA)","T2P0C1",2025-10-22,"Production: 24x7 service; NBD parts",2024-11-15,"-",2027-11-14,"-",10,64.00 GiB,169 days and 17:58:29,"-","Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West"
75ee3ee3-7fda-4c64-8114-16523cdbac5e,"HM238S003680",NX-8035-G8,NX-SWO,"Airdrie","ipl-nutanixcls01",Under Support,"Inter Pipeline Fund","Scott Sefcik","scott.sefcik@nutanix.com","Long View Systems - Canada","ARROW ECS CANADA",000609c1-da9d-95fc-6e97-7cc25581f0d1,"23SG3G360042","Nutanix","NX G8",NX-8035N-G8,"American Megatrends International, LLC.","WB61.101",5.22,31.25,"SuperMicro","8.02.02","Intel Corporation, Broadcom / LSI",", SAS3808(A0)",", 31.00.00.01","Not Found","-","Intel Corporation(8086), Intel Corporation(8086)","2.24.6, 2.24.6","8.50 0x8000b703 1.3082.0, 8.50 0x8000c29f 1.3082.0","eth0
eth1
eth2
eth3
eth4
eth5","HDD + SSD","KRM61RUG7T68","0105","WDC  WUH721818ALE6L4","PCGNW8C2","-","-","-","-","-","-","48","48","2","24","Intel(R) Xeon(R) Gold 6336Y CPU @ 2.40GHz","Ice Lake",4500,"2400","ASPEED Technology, Inc.","Super Micro Computer Inc","ASPEED Graphics Family","Subsystem device 1b6a","Display controller:VGA compatible controller:VGA controller","82","0000:04:00.0","1",1007.00,"16","62.94",485.68,521.32,83.28,30.51,52.76,13.97,8.48,6.52,65.48,17.42,52.89,2,4,"0",-,-,16,"AHV","20230302","3.2.1.71663","CANADA (CA)","T4A 0R1",2025-10-22,"Production: 24x7 service; NBD parts",2023-09-18,"-",2026-09-17,"-",14,40.00 GiB,118 days and 19:52:50,"-","Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West"
8e95296a-c383-43ba-87b8-d022bdb6e6ac,"OM23AS019372",NX-1175S-G8,NX-SWO,"Calgary","iplp1-nutanixcls01",Under Support,"Inter Pipeline Fund","Scott Sefcik","scott.sefcik@nutanix.com","Long View Systems - Canada","ARROW ECS CANADA",00060e9b-e7e5-e852-5e9a-00e0ededd6a6,"23SG5N460033","Nutanix","NX G8",NX-1175S-G8,"American Megatrends International, LLC.","WW61.101",5.22,31.25,"SuperMicro","8.02.02","Broadcom / LSI","SAS3816(A0)","25.00.00.01","Not Found","-","Intel Corporation(8086), Intel Corporation(8086)","5.19.9, 5.19.9","0x800016dc, 1.3082.0, 0x8000174b, 1.3105.0","eth0
eth1
eth2
eth3","HDD + SSD","SAMSUNG MZ7L31T9HBLT-00A07","JXTC604Q","ST6000NM019B-2TG103","SN04","-","-","-","-","-","-","16","16","1","16","Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz","Ice Lake",4500,"2900","ASPEED Technology, Inc.","Super Micro Computer Inc","ASPEED Graphics Family","Subsystem device 1b62","Display controller:VGA compatible controller:VGA controller","82","0000:04:00.0","1",250.83,"4","62.71",77.38,173.45,14.48,0.59,13.89,3.49,0.51,3.24,10.91,0.01,11.71,2,2,"0",-,-,5,"AHV","20230302","3.2.66484","CANADA (CA)","T2P 1M4",2025-10-22,"Production: 24x7 service; NBD parts",2023-11-30,"-",2026-11-29,"-",12,32.00 GiB,124 days and 21:51:52,"-","Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West"
a1ba83bf-5798-41f7-841d-98f6e89fd0a9,"WM24BS002066",NX-1175S-G9,NX-SWO,"Calgary","iplrw-nutanixcls01",Under Support,"Inter Pipeline Fund","Scott Sefcik","scott.sefcik@nutanix.com","Long View Systems - Canada","Ingram Micro Canada",00062bb0-c88d-f6ed-39fb-7cc255e9ad65,"24SH5T500403","Nutanix","NX G9",NX-1175S-G9,"American Megatrends International, LLC.","EW30.101",5.32,31.25,"SuperMicro","1.01.5","Intel Corporation","-","-","Not Found","-","Broadcom Inc. and subsidiaries(14e4), Intel Corporation(8086)","1.10.2-226.0.141.0, 5.19.9","223.0.161.0/pkg 223.1.96.0, 0x8000172d, 1.3429.0","eth0
eth1
eth2
eth3","All NVMe","-","-","-","-","SAMSUNG MZQL23T8HCLS-00A07","GDC5A02Q","-","-","-","-","12","12","1","12","Intel(R) Xeon(R) Silver 4410Y","Sapphire Rapids",4200,"2000","ASPEED Technology, Inc.","Super Micro Computer Inc","ASPEED Graphics Family","Subsystem device 1c51","Display controller:VGA compatible controller:VGA controller","82","0000:03:00.0","1",187.67,"6","31.28",68.89,118.77,6.57,0.39,6.18,No data received in last 24 hours,0.34,-,-,0,-,-,-,"2",-,-,4,"AHV","20230302","3.2.66484","CANADA (CA)","T2P 1M4",2025-10-22,"Production: 24x7 service; NBD parts",2024-12-31,"-",2027-12-30,"-",12,32.00 GiB,260 days and 12:40:35,"-","Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West"
