Linked Opportunity: Account Name,Registration: ID,Registration: Registration Name,Nutanix Software Products,Partner / OEM Account Name,Linked Opportunity: Opportunity ID,Linked Opportunity: Opportunity Name,Linked Opportunity: Stage,Partner's Preferred Distributor,Linked Opportunity: Distributor Company Name,OEM Reseller Company,Linked Opportunity: Reseller/OEM Name,Linked Opportunity: Workloads,Linked Opportunity: Primary Workload,Linked Opportunity: Product Picklist,Is Primary Registration,Linked Opportunity: Primary Contact,Created Date/Time
Petronas Energy Canada Ltd,a2C0e000002QeHk,Reg123125,,CompuCom,0060e00001tgMGu,Petronas - ROBO,8 - Closed Won,ARROW ECS CANADA,ARROW ECS CANADA,,CompuCom,,,Acropolis (AOS); Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Disaster Recovery; Nutanix DRaaS; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Move; Nutanix Objects; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,4/9/2019 9:15 AM
Petronas Energy Canada Ltd,a2C0e000003UoRe,Reg149556,,CompuCom,0060e00001tgQTT,DC refresh Final Phase,8 - Closed Won,ARROW ECS CANADA,ARROW ECS CANADA,,CompuCom,,Enterprise Apps-Exchange,Acropolis (AOS); Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Disaster Recovery; Nutanix DRaaS; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Move; Nutanix Objects; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,10/24/2019 1:41 PM
Petronas Energy Canada Ltd,a2C0e000004SUzT,Reg192826,,CompuCom Canada,0060e00001xgDTH,Prism ultimate seed,8 - Closed Won,ARROW ECS CANADA,ARROW ECS CANADA,,CompuCom Canada,,Enterprise Apps-SQL Server,Acropolis (AOS); Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Disaster Recovery; Nutanix DRaaS; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Move; Nutanix Objects; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,10/2/2020 10:45 AM
Petronas Energy Canada Ltd,a2C0e000004iSRz,Reg206015,,CompuCom Canada,0060e00001xgolW,Fort St John,9 - Closed Lost,,,,CompuCom Canada,,,Acropolis (AOS); Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Disaster Recovery; Nutanix DRaaS; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Move; Nutanix Objects; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,12/28/2020 6:53 PM
Petronas Energy Canada Ltd,a2C0e000004UiAh,Reg196261,,CompuCom Canada,0060e00001xhM3s,Ultimate,9 - Closed Lost,ARROW ECS CANADA,ARROW ECS CANADA,,CompuCom Canada,,Enterprise Apps-SQL Server,Acropolis (AOS); Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Disaster Recovery; Nutanix DRaaS; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Move; Nutanix Objects; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,10/22/2020 2:38 PM
Petronas Energy Canada Ltd,a2C0e000004V5em,Reg196747,,CompuCom Canada,0060e00001xhT0C,Prism ultimate SCADA 3 nodes,8 - Closed Won,ARROW ECS CANADA,ARROW ECS CANADA,,CompuCom Canada,,Enterprise Apps-SQL Server,Acropolis (AOS); Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Disaster Recovery; Nutanix DRaaS; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Move; Nutanix Objects; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,10/26/2020 2:03 PM
Petronas Energy Canada Ltd,a2C7V0000050jRv,Reg232427,,CompuCom Canada,0060e00001zHhS2,Petronas - Cluster expansion,8 - Closed Won,,ARROW ECS CANADA,,CompuCom Canada,,Others - please specify in win notes,Acropolis (AOS); Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Disaster Recovery; Nutanix DRaaS; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Move; Nutanix Objects; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,6/15/2021 1:51 PM
Petronas Energy Canada Ltd,a2C7V0000050sei,Reg238769,,CompuCom Canada,0067V00001zJb5c,2nd PO,8 - Closed Won,ARROW ECS CANADA,ARROW ECS CANADA,,CompuCom Canada,,,Acropolis (AOS); Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Disaster Recovery; Nutanix DRaaS; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Move; Nutanix Objects; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,7/27/2021 6:44 AM
Petronas Energy Canada Ltd,a2C7V0000050wot,Reg241678,AOS Related Software,CompuCom,0067V00001zK0Ue,KR - SCADA Cluster DR Expand,8 - Closed Won,ARROW ECS CANADA,ARROW ECS CANADA,,CompuCom,,Others - please specify in win notes,Acropolis (AOS); Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Disaster Recovery; Nutanix DRaaS; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Move; Nutanix Objects; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,8/17/2021 1:20 PM
Petronas Energy Canada Ltd,a2C7V00000513fZ,Reg246720,,CompuCom Canada,0067V00001zKKvK,KR - Network Card and cables,8 - Closed Won,ARROW ECS CANADA,ARROW ECS CANADA,,CompuCom Canada,,Others - please specify in win notes,Acropolis (AOS); Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Disaster Recovery; Nutanix DRaaS; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Move; Nutanix Objects; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,9/21/2021 12:22 PM
Petronas Energy Canada Ltd,a2C7V0000051JLV,Reg258466,,CompuCom Canada,0067V000020RJu6,KR - Single Node Expand,8 - Closed Won,ARROW ECS CANADA,ARROW ECS CANADA,,CompuCom Canada,,Others - please specify in win notes,Acropolis (AOS); Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Disaster Recovery; Nutanix DRaaS; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Move; Nutanix Objects; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,12/10/2021 7:10 AM
