Account Name,VM UUID,VM Name,VM Type,Power State,CPUs,Storage Capacity,Memory,Reserved Memory,Is CVM,Last Reported,Theater,Region,Sub Region,Cluster UUID,Cluster Name,Node UUID,Node Serial Number,Hypervisor Type,Guest OS
"Petronas Energy Canada Ltd",878161c5-6e5d-449b-a1dd-659734a54916,"B89JCCNFW01","kGuestVM","on",2,60 GiB,8 GiB,8 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",0005d813-479e-9912-2c37-3cecefee84a2,"B89J",3253f8eb-d835-4e9b-a179-b6acf7da5336,"OM219S060930","AHV","Not Found"
"Petronas Energy Canada Ltd",e1224178-4a03-4669-a8ff-56d721ae3f0c,"B89JCCNFW02","kGuestVM","on",2,60 GiB,8 GiB,8 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",0005d813-479e-9912-2c37-3cecefee84a2,"B89J",29ddabb0-62fb-4c36-8fbd-ca44d0dddb1d,"OM219S060757","AHV","Not Found"
"Petronas Energy Canada Ltd",80c32d3a-6954-4a38-9d8f-9973a10ed00b,"B89JCCNMGMT02","kGuestVM","on",2,60 GiB,8 GiB,8 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",0005d813-479e-9912-2c37-3cecefee84a2,"B89J",3253f8eb-d835-4e9b-a179-b6acf7da5336,"OM219S060930","AHV","windows:64:WindowsServer2019Datacenter"
"Petronas Energy Canada Ltd",0701039f-1245-46ad-9a1e-2d57f929a588,"B89JCCNPIPROD01","kGuestVM","on",2,320 GiB,16 GiB,16 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",0005d813-479e-9912-2c37-3cecefee84a2,"B89J",7dd114b6-779f-4e01-a875-c54219fb57f2,"OM219S060908","AHV","windows:64:WindowsServer2016Datacenter"
"Petronas Energy Canada Ltd",7960a48e-d729-42a9-ab63-763f9eb09ec4,"B89JCCNPIPROD02","kGuestVM","off",2,320 GiB,16 GiB,0.00 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",0005d813-479e-9912-2c37-3cecefee84a2,"B89J",-,"-","-","windows:64:WindowsServer2016Datacenter"
"Petronas Energy Canada Ltd",1eaf4916-4780-4a65-9bde-4c46c3b4b9e9,"B89JCCNRDP01","kGuestVM","off",2,60 GiB,12 GiB,0.00 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",0005d813-479e-9912-2c37-3cecefee84a2,"B89J",-,"-","-","windows:64:WindowsServer2019Datacenter"
"Petronas Energy Canada Ltd",93e98de2-ff11-4236-b088-a160192427c1,"B89JCCNRDP02","kGuestVM","off",2,60 GiB,12 GiB,0.00 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",0005d813-479e-9912-2c37-3cecefee84a2,"B89J",-,"-","-","windows:64:WindowsServer2019Datacenter"
"Petronas Energy Canada Ltd",ac601145-cd6b-49ba-a503-6c79427acb4a,"C72A-CH01","kGuestVM","on",4,1260 GiB,12 GiB,12 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00058a98-f316-4543-0000-00000002933c,"C72A",dee92ad4-7996-4b85-909f-55007d09a1eb,"OM23AS019405","AHV","windows:64:WindowsServer2016Datacenter"
"Petronas Energy Canada Ltd",850a0ee9-423b-4c58-b1ec-2dee2e28c010,"C72A-DC02","kGuestVM","on",2,80 GiB,8 GiB,8 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00058a98-f316-4543-0000-00000002933c,"C72A",fad4c724-00cd-4d1d-8012-0233e4886cf9,"OM23AS019388","AHV","Not Found"
"Petronas Energy Canada Ltd",eb3017c1-a529-48a9-a6c1-cee3489b5148,"C72A-DEV01","kGuestVM","on",4,240 GiB,8 GiB,8 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00058a98-f316-4543-0000-00000002933c,"C72A",dee92ad4-7996-4b85-909f-55007d09a1eb,"OM23AS019405","AHV","windows:64:WindowsServer2016Datacenter"
"Petronas Energy Canada Ltd",24903c35-f7d8-4b55-830b-21e6fdfd49ef,"C72A-GPV01","kGuestVM","on",4,60 GiB,8 GiB,8 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00058a98-f316-4543-0000-00000002933c,"C72A",dee92ad4-7996-4b85-909f-55007d09a1eb,"OM23AS019405","AHV","windows:64:WindowsServer2016Datacenter"
"Petronas Energy Canada Ltd",144b537a-fc7f-4697-9eb1-15876815e048,"C72A-GS01","kGuestVM","on",16,240 GiB,16 GiB,16 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00058a98-f316-4543-0000-00000002933c,"C72A",d217685e-05e0-4a47-bcac-1620fc520f24,"OM23AS019297","AHV","windows:64:WindowsServer2016Datacenter"
"Petronas Energy Canada Ltd",18657db7-1f76-48e3-a7b9-ea1311423d28,"C72A-GS02","kGuestVM","on",16,220 GiB,16 GiB,16 GiB,false,2025-10-23,"Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West",00058a98-f316-4543-0000-00000002933c,"C72A",fad4c724-00cd-4d1d-8012-0233e4886cf9,"OM23AS019388","AHV","windows:64:WindowsServer2016Datacenter"
