Account Name,Serial Number,Node Serial Number,Cluster Name,Cluster UUID,Account Executive,Account Executive Email,Asset Model,Asset Age,Model Family,Asset Status,Node Count (Operational),Node Count (Assets),AOS Version,Node License Mode,Hypervisor Type,Hypervisor Version,Install Location,Ship Date,Last Pulse Date,SSD Capacity (In TiB),SSD Capacity (In TB),HDD Capacity (In TiB),HDD Capacity (In TB),CPU Core Count,Contract Coverage,Contract Status,Contract Start Date,Contract End Date,Break Fix Contact Phone,Break Fix Contact Email,Asset EOL,Asset EOM,Order Type,Region,Sub Region,Incumbent Reseller,Incumbent Distributor,Cluster Tag,Sales Order,Asset Tag (Internal),Install Country,Install Zip,Install Base Address,Prior Contract End Date
"Petronas Energy Canada Ltd",19FM3E340053,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",NX-8235-G6,5,"NX-8000","Shipped",-,2,"-",NX-SWO,"Not Found","Nutanix 20220304.420","Calgary",2019-11-01,Not Found,13.97 TiB,15.36 TB,105.55 TiB,96 TB,56,"Production: 24x7 service; NBD parts",EXPIRED,2019-11-01,2024-10-30,"14033516939","infrastructure@petronascanada.com",Jan 2025,Jul 2023,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","CompuCom","ARROW ECS CANADA","-","SO-066949","-","CANADA (CA)","T2P 1M4","1600 215 2ND ST SW, Calgary, AB, CANADA (CA), T2P 1M4","-"
"Petronas Energy Canada Ltd",19FM3E340063,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",NX-8235-G6,5,"NX-8000","Shipped",-,2,"-",NX-SWO,"Not Found","Nutanix 20220304.420","Calgary",2019-11-01,Not Found,13.97 TiB,15.36 TB,105.55 TiB,96 TB,56,"Production: 24x7 service; NBD parts",EXPIRED,2019-11-01,2024-10-30,"14033516939","infrastructure@petronascanada.com",Jan 2025,Jul 2023,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","CompuCom","ARROW ECS CANADA","-","SO-066949","-","CANADA (CA)","T2P 1M4","1600 215 2ND ST SW, Calgary, AB, CANADA (CA), T2P 1M4","-"
"Petronas Energy Canada Ltd",19FM3E340078,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",NX-8235-G6,5,"NX-8000","Shipped",-,2,"-",NX-SWO,"Not Found","Nutanix 20230302.102001","Calgary",2019-11-01,Not Found,13.97 TiB,15.36 TB,105.55 TiB,96 TB,56,"Production: 24x7 service; NBD parts",EXPIRED,2019-11-01,2024-10-30,"14033516939","infrastructure@petronascanada.com",Jan 2025,Jul 2023,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","CompuCom","ARROW ECS CANADA","-","SO-066949","-","CANADA (CA)","T2P 1M4","1600 215 2ND ST SW, Calgary, AB, CANADA (CA), T2P 1M4","-"
"Petronas Energy Canada Ltd",19FM3E340082,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",NX-8235-G6,5,"NX-8000","Shipped",-,2,"-",NX-SWO,"Not Found","Nutanix 20230302.102001","Calgary",2019-11-01,Not Found,13.97 TiB,15.36 TB,105.55 TiB,96 TB,56,"Production: 24x7 service; NBD parts",EXPIRED,2019-11-01,2024-10-30,"14033516939","infrastructure@petronascanada.com",Jan 2025,Jul 2023,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","CompuCom","ARROW ECS CANADA","-","SO-066949","-","CANADA (CA)","T2P 1M4","1600 215 2ND ST SW, Calgary, AB, CANADA (CA), T2P 1M4","-"
"Petronas Energy Canada Ltd",19SM59190172,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1175S-G6,6,"NX-1175S","Shipped",-,1,"-",NX-SWO,"Not Found","Nutanix 20220304.480","Calgary",2019-05-29,Not Found,3.49 TiB,3.84 TB,8.80 TiB,8 TB,12,"Production: 24x7 service; NBD parts",EXPIRED,2019-05-29,2024-05-27,"14033516939","infrastructure@petronascanada.com",Dec 2025,Jun 2024,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","CompuCom","ARROW ECS CANADA","-","SO-058680","-","CANADA (CA)","T2P1M4","1600, 215 2nd st sw, Calgary, AB, CANADA (CA), T2P1M4","-"
"Petronas Energy Canada Ltd",19SM59190174,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1175S-G6,6,"NX-1175S","Shipped",-,1,"-",NX-SWO,"Not Found","Nutanix 20220304.480","Calgary",2019-05-29,Not Found,3.49 TiB,3.84 TB,8.80 TiB,8 TB,12,"Production: 24x7 service; NBD parts",EXPIRED,2019-05-29,2024-05-27,"14033516939","infrastructure@petronascanada.com",Dec 2025,Jun 2024,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","CompuCom","ARROW ECS CANADA","-","SO-058680","-","CANADA (CA)","T2P1M4","1600, 215 2nd st sw, Calgary, AB, CANADA (CA), T2P1M4","-"
"Petronas Energy Canada Ltd",19SM59190175,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1175S-G6,6,"NX-1175S","Shipped",-,1,"-",NX-SWO,"Not Found","Nutanix 20220304.480","Calgary",2019-05-29,Not Found,3.49 TiB,3.84 TB,8.80 TiB,8 TB,12,"Production: 24x7 service; NBD parts",EXPIRED,2019-05-29,2024-05-27,"14033516939","infrastructure@petronascanada.com",Dec 2025,Jun 2024,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","CompuCom","ARROW ECS CANADA","-","SO-058680","-","CANADA (CA)","T2P1M4","1600, 215 2nd st sw, Calgary, AB, CANADA (CA), T2P1M4","-"
"Petronas Energy Canada Ltd",19SW000091087,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",SW-AOS-ROBO-PRO-PRD-5YR,6,"Software Only","Shipped",-,-,"-",NX-SWO,"Not Found","-","Calgary",2019-05-29,Not Found,-,-,-,-,-,"Production: 24x7 service; NBD parts",EXPIRED,2019-05-29,2024-05-27,"-","-",-,-,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","CompuCom","ARROW ECS CANADA","-","SO-058680","-","CANADA (CA)","T2P1M4","1600, 215 2nd st sw, Calgary, AB, CANADA (CA), T2P1M4","-"
"Petronas Energy Canada Ltd",19SW000113856,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",SW-AOS-PRO-PRD-5YR,5,"Software Only","Shipped",-,-,"-",NX-SWO,"Not Found","-","Calgary",2019-11-01,Not Found,-,-,-,-,-,"Production: 24x7 service; NBD parts",EXPIRED,2019-11-01,2024-10-30,"-","-",-,-,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","CompuCom","ARROW ECS CANADA","-","SO-066949","-","CANADA (CA)","T2P 1M4","1600 215 2ND ST SW, Calgary, AB, CANADA (CA), T2P 1M4","-"
"Petronas Energy Canada Ltd",19SW000113857,"-","Not Found",Not Found,"Scott Sefcik","scott.sefcik@nutanix.com",SW-AOS-ADVREP-PRD-5YR,5,"Software Only","Shipped",-,-,"-",NX-SWO,"Not Found","-","Calgary",2019-11-01,Not Found,-,-,-,-,-,"Production: 24x7 service; NBD parts",EXPIRED,2019-11-01,2024-10-30,"-","-",-,-,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","CompuCom","ARROW ECS CANADA","-","SO-066949","-","CANADA (CA)","T2P 1M4","1600 215 2ND ST SW, Calgary, AB, CANADA (CA), T2P 1M4","-"
"Petronas Energy Canada Ltd",20FM5E400003,"OM203S046692","CG1NTX02",0005b25a-c5ae-bdb0-3c5d-3cecef180a5e,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1175S-G7-CM,5,"NX-1175S","Shipped",-,1,"6.10",NX-SWO,"AHV","Nutanix 20230302.102001","Calgary",2020-10-01,2025-10-23 00:00,3.49 TiB,3.84 TB,26.39 TiB,24 TB,8,"Production: 24x7 service; NBD parts",EXPIRED,2020-10-01,2025-09-30,"14033516939","infrastructure@petronascanada.com",Jun 2027,Dec 2025,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","CompuCom Canada","ARROW ECS CANADA","-","SO-090392","-","CANADA (CA)","T2P 1M4","1600 215 2ND STREET SW, Calgary, AB, CANADA (CA), T2P 1M4","-"
