Account Name,License Name,License Creation Date,License Expiry Date,License Class,Attribute Type,Cluster Name,License Type,License Status,Entitled Quantity,Reserved Quantity,Quantity Used by Cluster,Total Quantity Used,Unused Quantity,Cluster UUID,Cluster Tag,Managing PC Name,Managing PC UUID,SW Asset Serial Number,Node Count,Licenses Sales Order,Block Count,Support Start Date,Support Level,Is Invalid License,Product,License Asset Model,License SKU,Reserved Quantity on AWS,Purchased Quantity,Cluster Core Capacity,Cluster Flash Capacity (TiB),Cluster Flash Capacity (TB),Powered-On User VM Count,AOS Version,Last Pulse,PE Cluster Names,PE Cluster UUIDs,Account Type,Account ID,Theater,Region,Sub-Region,License Tag,License Tag (Internal),License File Name,License File Creation Date,Last Sales,Resale,Renewable,Reserved Quantity on Azure,Is Seamlessly Licensed
"Petronas Energy Canada Ltd","LIC-01217256","2021-08-05","2026-08-04","software_only","FLASH","Not Found","Pro","Available","1.00","0.0","0.00","0.00","1.00","Not Found","-","Not Applicable","Not Applicable","21SW000202274",0,"SO-110637",-,"2021-08-05","Production",False,"AOS","Not Applicable","L-FLASHTiB-PRO-PRD","0",7.0,"0.0","-","-","0","-","Not Found","-","-","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-08-19","For Resale","Renewable","0","-"
"Petronas Energy Canada Ltd","LIC-01217258","2021-08-05","2026-08-04","software_only","FLASH","Not Found","Advanced Replication","Available","1.00","0.0","0.00","0.00","1.00","Not Found","-","Not Applicable","Not Applicable","21SW000202275",0,"SO-110637",-,"2021-08-05","Production",False,"Advanced Replication","Not Applicable","L-FLASHTiB-ADVREP-PRD","0",7.0,"0.0","-","-","0","-","Not Found","-","-","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-08-19","For Resale","Renewable","0","-"
"Petronas Energy Canada Ltd","LIC-01378672","2021-11-24","2026-11-22","software_only","FLASH","Not Found","Pro","Available","1.00","0.0","0.00","0.00","1.00","Not Found","-","Not Applicable","Not Applicable","21SW000215677",0,"SO-118162",-,"2021-11-23","Production",False,"AOS","Not Applicable","L-FLASHTiB-PRO-PRD-5YR","0",11.0,"0.0","-","-","0","-","Not Found","-","-","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-08-19","For Resale","Renewable","0","-"
"Petronas Energy Canada Ltd","LIC-01389972","2022-01-08","2027-01-06","software_only","FLASH","Not Found","Pro","Available","2.00","0.0","0.00","0.00","2.00","Not Found","-","Not Applicable","Not Applicable","22SW000220745",0,"SO-120618",-,"2022-01-07","Production",False,"AOS","Not Applicable","L-FLASHTiB-PRO-PRD-5YR","0",4.0,"0.0","-","-","0","-","Not Found","-","-","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-08-19","For Resale","Renewable","0","-"
"Petronas Energy Canada Ltd","LIC-01469423","2022-12-19","2027-12-18","software_only","FLASH","Not Found","Pro","Available","1.00","0.0","0.00","0.00","1.00","Not Found","-","Not Applicable","Not Applicable","22SW000269357",0,"SO-146772",-,"2022-12-19","Production",False,"AOS","Not Applicable","L-FLASHTiB-PRO-PRD","0",14.0,"0.0","-","-","0","-","Not Found","-","-","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-08-19","For Resale","Renewable","0","-"
"Petronas Energy Canada Ltd","LIC-01485752","2023-02-22","2027-12-21","software_only","FLASH","Not Found","Advanced Replication","Available","1.00","0.0","0.00","0.00","1.00","Not Found","-","Not Applicable","Not Applicable","23SW000279050",0,"SO-151951",-,"2023-02-22","Production",False,"Advanced Replication","Not Applicable","L-FLASHTiB-ADVREP-PRD","0",14.0,"0.0","-","-","0","-","Not Found","-","-","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-08-19","For Resale","Renewable","0","-"
"Petronas Energy Canada Ltd","LIC-01738102","2023-05-09","2028-05-08","software_only","USERS","CG1NTX04","EUC Pro","Activated","245.00","0.0","245.00","245.00","0.00","0005fc76-8db4-3aae-23df-7cc255357f98","-","CG1PRISM","d890c827-4e71-44c8-aa87-55b6b64398a2","23SW000289217",5,"SO-157188",5,"2023-05-09","Production",False,"EUC","Not Applicable","SW-EUC-PRO-PR","0",245.0,"240.0","104.73 TiB","115.20 TB","205","6.10","2025-10-23","-","-","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-08-19","For Resale","Renewable","0","FALSE"
"Petronas Energy Canada Ltd","LIC-01738103","2023-05-09","2028-05-08","software_only","CORES","CG1PRISM","NCM Starter","Activated","240.00","0.0","240.00","240.00","0.00","d890c827-4e71-44c8-aa87-55b6b64398a2","-","Not Applicable","Not Applicable","23SW000289218",0,"SO-157188",-,"2023-05-09","Production",False,"NCM","Not Applicable","SW-NCM-STR-PR","0",240.0,"0.0","0","0","0","7.3.1","2025-10-23","CG1NTX04","0005fc76-8db4-3aae-23df-7cc255357f98","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-12296032","2025-10-08","2025-08-19","For Resale","Renewable","0","FALSE"
"Petronas Energy Canada Ltd","LIC-02072243","2023-05-17","2027-12-18","software_only","CORES","CG1NTX01","NCI Pro","Activated","64.00","0.0","64.00","64.00","0.00","00059c0d-e562-6375-7211-ac1f6b356611","-","CG1PRISM","d890c827-4e71-44c8-aa87-55b6b64398a2","23SW000291029",8,"SO-146772",8,"2023-05-17","Production",False,"NCI","Not Applicable","SW-NCI-PRO-PR","0",64.0,"296.0","0","0","175","6.10.1","2025-10-23","-","-","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-03435618","2023-03-10","2025-08-19","For Resale","Renewable","0","FALSE"
"Petronas Energy Canada Ltd","LIC-02072244","2023-05-17","2027-12-21","software_only","CORES","CG2NTX01","NCI Advanced Replication","Activated","64.00","0.0","64.00","64.00","0.00","00059c1d-becb-2afa-265f-ac1f6b3586c9","-","CG2PRISM","ea890b67-c919-4ef2-92e7-cbb20d4df250","23SW000291030",9,"SO-151951",7,"2023-05-17","Production",False,"NCI Advanced Replication","Not Applicable","SWA-NCI-ADR-PR","0",64.0,"336.0","27.93 TiB","30.72 TB","21","6.10.1","2025-10-23","-","-","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-03435632","2023-03-10","2025-08-19","For Resale","Renewable","0","FALSE"
