Account Name,Serial Number,Node Serial Number,Cluster Name,Cluster UUID,Account Executive,Account Executive Email,Asset Model,Asset Age,Model Family,Asset Status,Node Count (Operational),Node Count (Assets),AOS Version,Node License Mode,Hypervisor Type,Hypervisor Version,Install Location,Ship Date,Last Pulse Date,SSD Capacity (In TiB),SSD Capacity (In TB),HDD Capacity (In TiB),HDD Capacity (In TB),CPU Core Count,Contract Coverage,Contract Status,Contract Start Date,Contract End Date,Break Fix Contact Phone,Break Fix Contact Email,Asset EOL,Asset EOM,Order Type,Region,Sub Region,Incumbent Reseller,Incumbent Distributor,Cluster Tag,Sales Order,Asset Tag (Internal),Install Country,Install Zip,Install Base Address,Prior Contract End Date
"WhiteCap Resources",17FM6G460108,"-","WC-WEYNTNX01",00055fc8-1df2-ef0f-2a66-ac1f6b1caee4,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1365S-G5,7,"NX-1000","Shipped",-,3,"6.5.3.7",NX,"AHV","Nutanix 20220304.423","Weyburn",2017-12-01,2024-03-05 00:00,2.62 TiB,2.88 TB,52.78 TiB,48 TB,36,"Production: 24x7 service; NBD parts",EXPIRED,2017-12-01,2023-10-31,"+1 4038172197","ryan.kuffler@wcap.ca",Oct 2023,Apr 2022,"Revenue","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-036409","-","CANADA (CA)","-","F79R+PCQ, Weyburn, Saskatchewan, CANADA (CA)","-"
"WhiteCap Resources",17SM52020261,"-","WC-NTNX01",00054b4d-922c-bbb3-0000-00000001274c,"Scott Sefcik","scott.sefcik@nutanix.com",NX-6155-G5,8,"NX-6000","Shipped",-,1,"6.5.1.6",NX,"AHV","Nutanix 20220304.242","Calgary",2017-01-30,2023-04-03 00:00,2.91 TiB,3.20 TB,65.97 TiB,60 TB,16,"Production: 24x7 service; NBD parts",EXPIRED,2017-01-30,2023-01-05,"+1 4038172181","awolde@wcap.ca",Oct 2023,Apr 2022,"Revenue","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Long View Systems - Canada","Ingram Micro Canada","-","SO-027457","-","CANADA (CA)","T2P 1G1","3800 525 8th Avenue Southwest, T2P 0G1, Calgary, Alberta, CANADA (CA), T2P 1G1","-"
"WhiteCap Resources",17SM52020262,"-","WC-NTNX01",00054b4d-922c-bbb3-0000-00000001274c,"Scott Sefcik","scott.sefcik@nutanix.com",NX-6155-G5,8,"NX-6000","Shipped",-,1,"6.5.1.6",NX,"AHV","Nutanix 20220304.242","Calgary",2017-01-30,2023-04-03 00:00,2.91 TiB,3.20 TB,65.97 TiB,60 TB,16,"Production: 24x7 service; NBD parts",EXPIRED,2017-01-30,2023-01-05,"+1 4038172181","awolde@wcap.ca",Oct 2023,Apr 2022,"Revenue","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Long View Systems - Canada","Ingram Micro Canada","-","SO-027457","-","CANADA (CA)","T2P 1G1","3800 525 8th Avenue Southwest, T2P 0G1, Calgary, Alberta, CANADA (CA), T2P 1G1","-"
"WhiteCap Resources",17SM52020264,"-","WC-NTNX01",00054b4d-922c-bbb3-0000-00000001274c,"Scott Sefcik","scott.sefcik@nutanix.com",NX-6155-G5,8,"NX-6000","Shipped",-,1,"6.5.1.6",NX,"AHV","Nutanix 20220304.242","Calgary",2017-01-30,2023-04-03 00:00,2.91 TiB,3.20 TB,65.97 TiB,60 TB,16,"Production: 24x7 service; NBD parts",EXPIRED,2017-01-30,2023-01-05,"+1 4038172181","awolde@wcap.ca",Oct 2023,Apr 2022,"Revenue","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Long View Systems - Canada","Ingram Micro Canada","-","SO-027457","-","CANADA (CA)","T2P 1G1","3800 525 8th Avenue Southwest, T2P 0G1, Calgary, Alberta, CANADA (CA), T2P 1G1","-"
"WhiteCap Resources",17SM52020266,"-","WC-NTNX01",00054b4d-922c-bbb3-0000-00000001274c,"Scott Sefcik","scott.sefcik@nutanix.com",NX-6155-G5,8,"NX-6000","Shipped",-,1,"6.5.1.6",NX,"AHV","Nutanix 20220304.242","Calgary",2017-01-30,2023-04-03 00:00,2.91 TiB,3.20 TB,65.97 TiB,60 TB,16,"Production: 24x7 service; NBD parts",EXPIRED,2017-01-30,2023-01-05,"+1 4038172181","awolde@wcap.ca",Oct 2023,Apr 2022,"Revenue","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Long View Systems - Canada","Ingram Micro Canada","-","SO-027457","-","CANADA (CA)","T2P 1G1","3800 525 8th Avenue Southwest, T2P 0G1, Calgary, Alberta, CANADA (CA), T2P 1G1","-"
"WhiteCap Resources",18FM52490138,"-","WC-NTNX01",00054b4d-922c-bbb3-0000-00000001274c,"Scott Sefcik","scott.sefcik@nutanix.com",NX-6155-G5,6,"NX-6000","Shipped",-,1,"6.5.1.6",NX,"AHV","Nutanix 20220304.242","Calgary",2018-12-10,2023-04-03 00:00,1.75 TiB,1.92 TB,65.97 TiB,60 TB,16,"Production: 24x7 service; NBD parts",EXPIRED,2018-12-10,2023-01-05,"+1 4038172181","awolde@wcap.ca",Oct 2023,Apr 2022,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-051013","-","CANADA (CA)","T2P 1G1","3800 525 8th Avenue Southwest, T2P 0G1, Calgary, Alberta, CANADA (CA), T2P 1G1","-"
"WhiteCap Resources",18FM77330157,"-","WC-KERNTNX01",0005754e-714a-5b08-2a3e-ac1f6b4b8580,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1175S-G5,7,"NX-1000","Shipped",-,1,"6.5.6.6",NX,"AHV","Nutanix 20220304.511","Kerrobert",2018-08-22,2024-12-02 00:00,0.87 TiB,0.96 TB,4.40 TiB,4 TB,8,"Production: 24x7 service; NBD parts",EXPIRED,2018-08-22,2024-07-31,"+1 4038172197","ryan.kuffler@wcap.ca",Jul 2024,Jan 2023,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-045791","-","CANADA (CA)","S0L 0K0","QR88+G9, Kerrobert, Saskatchewan, CANADA (CA), S0L 0K0","-"
"WhiteCap Resources",18FM77360112,"-","WC-FOSNTNX01",000576df-f3b1-9542-1f0c-ac1f6b4b867c,"Scott Sefcik","scott.sefcik@nutanix.com",NX-1175S-G5,7,"NX-1000","Shipped",-,1,"6.5.5",NX,"AHV","Nutanix 20220304.478","Fosterton",2018-09-13,2024-11-04 00:00,0.87 TiB,0.96 TB,4.40 TiB,4 TB,8,"Production: 24x7 service; NBD parts",EXPIRED,2018-09-13,2024-07-31,"+1 4038172197","ryan.kuffler@wcap.ca",Jul 2024,Jan 2023,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-046748","-","CANADA (CA)","-","CJ75+GM4, Fosterton, Saskatchewan, CANADA (CA)","-"
"WhiteCap Resources",19FM57130277,"OM18BS024872","WC-CGY-NXA",00058a79-b337-8078-3fd2-ac1f6b5c4da0,"Scott Sefcik","scott.sefcik@nutanix.com",NX-8155-G6,6,"NX-8000","Shipped",-,1,"6.10.1",NX-SWO,"AHV","Nutanix 20230302.103003","Calgary",2019-04-03,2025-06-23 00:00,20.95 TiB,23.04 TB,0.00 TiB,0 TB,12,"Mission Critical: 24x7 service; 4hr parts",EXPIRED,2019-04-03,2025-01-31,"+1 4038172197","ryan.kuffler@wcap.ca",Jan 2025,Jul 2023,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-055775","-","CANADA (CA)","T2C 3C2","7007 54 ST SE, UNIT 204, BUILDING D, Calgary, Alberta, CANADA (CA), T2C 3C2","-"
"WhiteCap Resources",19FM57130293,"-","WC-CGY-NXA",00058a79-b337-8078-3fd2-ac1f6b5c4da0,"Scott Sefcik","scott.sefcik@nutanix.com",NX-8155-G6,6,"NX-8000","Shipped",-,1,"6.10.1",NX-SWO,"AHV","Nutanix 20230302.101026","Calgary",2019-04-03,2025-06-23 00:00,20.95 TiB,23.04 TB,0.00 TiB,0 TB,12,"Mission Critical: 24x7 service; 4hr parts",EXPIRED,2019-04-03,2025-01-31,"+1 4038172197","ryan.kuffler@wcap.ca",Jan 2025,Jul 2023,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-055775","-","CANADA (CA)","T2C 3C2","7007 54 ST SE, UNIT 204, BUILDING D, Calgary, Alberta, CANADA (CA), T2C 3C2","-"
"WhiteCap Resources",19FM57130294,"OM18AS009267","WC-CGY-NXA",00058a79-b337-8078-3fd2-ac1f6b5c4da0,"Scott Sefcik","scott.sefcik@nutanix.com",NX-8155-G6,6,"NX-8000","Shipped",-,1,"6.10.1",NX-SWO,"AHV","Nutanix 20230302.103003","Calgary",2019-04-03,2025-06-23 00:00,20.95 TiB,23.04 TB,0.00 TiB,0 TB,12,"Mission Critical: 24x7 service; 4hr parts",EXPIRED,2019-04-03,2025-01-31,"+1 4038172197","ryan.kuffler@wcap.ca",Jan 2025,Jul 2023,"Revenue - MITF","Americas North Enterprise & Canada","Canada Enterprise/Comm West","Ironclad TEK Inc.","Ingram Micro Canada","-","SO-055775","-","CANADA (CA)","T2C 3C2","7007 54 ST SE, UNIT 204, BUILDING D, Calgary, Alberta, CANADA (CA), T2C 3C2","-"
