Account Name,License Name,License Creation Date,License Expiry Date,License Class,Attribute Type,Cluster Name,License Type,License Status,Entitled Quantity,Reserved Quantity,Quantity Used by Cluster,Total Quantity Used,Unused Quantity,Cluster UUID,Cluster Tag,Managing PC Name,Managing PC UUID,SW Asset Serial Number,Node Count,Licenses Sales Order,Block Count,Support Start Date,Support Level,Is Invalid License,Product,License Asset Model,License SKU,Reserved Quantity on AWS,Purchased Quantity,Cluster Core Capacity,Cluster Flash Capacity (TiB),Cluster Flash Capacity (TB),Powered-On User VM Count,AOS Version,Last Pulse,PE Cluster Names,PE Cluster UUIDs,Account Type,Account ID,Theater,Region,Sub-Region,License Tag,License Tag (Internal),License File Name,License File Creation Date,Last Sales,Resale,Renewable,Reserved Quantity on Azure,Is Seamlessly Licensed
"WhiteCap Resources","LIC-02430495","2023-11-01","2026-10-31","software_only","CORES","Not Found","NCI Pro","Available","12.00","0.0","0.00","0.00","12.00","Not Found","-","Not Applicable","Not Applicable","23SW000314849",0,"SO-170037",-,"2023-11-01","Production",False,"NCI","Not Applicable","SW-NCI-PRO-PR","0",12.0,"0.0","-","-","0","-","Not Found","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-08-25","For Resale","Renewable","0","-"
"WhiteCap Resources","LIC-02430496","2023-11-01","2026-10-31","software_only","CORES","PRISM.WCAP.CA","NCM Starter","Activated","12.00","0.0","12.00","12.00","0.00","8606610f-7ab8-409d-9687-50bedb2cdb1f","-","Not Applicable","Not Applicable","23SW000314850",0,"SO-170037",-,"2023-11-01","Production",False,"NCM","Not Applicable","SW-NCM-STR-PR","0",12.0,"0.0","0","0","0","2024.3.1.7","2025-10-23","WC-CGY-NXF","00061882-393a-e34f-6b7e-3a7c76724c80","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-11696964","2025-07-25","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02439448","2023-12-09","2026-12-07","software_only","CORES","PRISM.WCAP.CA","NCM Starter","Activated","12.00","0.0","12.00","12.00","0.00","8606610f-7ab8-409d-9687-50bedb2cdb1f","-","Not Applicable","Not Applicable","23SW000322707",0,"SO-171961",-,"2023-12-08","Production",False,"NCM","Not Applicable","SW-NCM-STR-PR","0",12.0,"0.0","0","0","0","2024.3.1.7","2025-10-23","WC-CGY-NXF","00061882-393a-e34f-6b7e-3a7c76724c80","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-11696964","2025-07-25","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02456986","2024-02-29","2026-02-27","software_only","TIB","PRISM.WCAP.CA","NUS Pro","Activated","220.00","0.0","220.00","220.00","0.00","8606610f-7ab8-409d-9687-50bedb2cdb1f","-","Not Applicable","Not Applicable","24SW000335802",0,"SO-179188",-,"2024-02-29","Production",False,"NUS","Not Applicable","SW-NUS-PRO-PR","0",220.0,"0.0","0","0","0","2024.3.1.7","2025-10-23","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-11696964","2025-07-25","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02456986","2024-02-29","2026-02-27","software_only","TIB","WC-CGY-NXE","NUS Pro","Activated","220.00","0.0","0.00","220.00","0.00","00061755-a6a5-3a82-390b-043201f0fd0a","-","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","24SW000335802",5,"SO-179188",5,"2024-02-29","Production",False,"NUS","Not Applicable","SW-NUS-PRO-PR","0",220.0,"320.0","0","0","220","6.10.1","2025-10-23","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02456986","2024-02-29","2026-02-27","software_only","TIB","WC-CGY-NXB","NUS Pro","Activated","220.00","0.0","0.00","220.00","0.00","0005bc41-a88b-e6a0-6a7b-9440c9b3e5dc","-","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","24SW000335802",4,"SO-179188",4,"2024-02-29","Production",False,"NUS","Not Applicable","SW-NUS-PRO-PR","0",220.0,"128.0","27.93 TiB","30.72 TB","9","6.10.1","2025-10-23","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-02925924","2023-01-06","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02456986","2024-02-29","2026-02-27","software_only","TIB","WC-CGY-NXF","NUS Pro","Activated","220.00","0.0","0.00","220.00","0.00","00061882-393a-e34f-6b7e-3a7c76724c80","-","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","24SW000335802",8,"SO-179188",8,"2024-02-29","Production",False,"NUS","Not Applicable","SW-NUS-PRO-PR","0",220.0,"512.0","0","0","32","6.10.1","2025-10-23","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02460306","2024-03-18","2026-04-02","software_only","CORES","PRISM.WCAP.CA","NCM Starter","Activated","8.00","0.0","8.00","8.00","0.00","8606610f-7ab8-409d-9687-50bedb2cdb1f","-","Not Applicable","Not Applicable","24SW000338687",0,"SO-130400",-,"2024-03-18","Production",False,"NCM","Not Applicable","SW-NCM-STR-PR","0",8.0,"0.0","0","0","0","2024.3.1.7","2025-10-23","WC-CGY-NXE","00061755-a6a5-3a82-390b-043201f0fd0a","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-11696964","2025-07-25","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02460312","2024-03-18","2026-08-04","software_only","CORES","Not Found","NCI Pro","Available","16.00","0.0","0.00","0.00","16.00","Not Found","-","Not Applicable","Not Applicable","24SW000338656",0,"SO-137495",-,"2024-03-18","Production",False,"NCI","Not Applicable","SW-NCI-PRO-PR","0",16.0,"0.0","-","-","0","-","Not Found","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-08-25","For Resale","Renewable","0","-"
"WhiteCap Resources","LIC-02460313","2024-03-18","2026-08-08","software_only","CORES","WC-WEY-NXA","NCI Pro","Activated","48.00","0.0","48.00","48.00","0.00","0005c575-5610-8b63-6cd3-3cecef5abbeb","-","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","24SW000338657",4,"SO-137998",4,"2024-03-18","Production",False,"NCI","Not Applicable","SW-NCI-PRO-PR","0",48.0,"48.0","20.95 TiB","23.04 TB","53","6.10.1","2025-10-23","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-00610262","2021-07-05","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02460319","2024-03-18","2026-03-14","software_only","CORES","PRISM.WCAP.CA","NCM Starter","Activated","16.00","0.0","16.00","16.00","0.00","8606610f-7ab8-409d-9687-50bedb2cdb1f","-","Not Applicable","Not Applicable","24SW000338670",0,"SO-100956",-,"2024-03-18","Production",False,"NCM","Not Applicable","SW-NCM-STR-PR","0",16.0,"0.0","0","0","0","2024.3.1.7","2025-10-23","WC-CGY-NXE","00061755-a6a5-3a82-390b-043201f0fd0a","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-11696964","2025-07-25","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02460320","2024-03-18","2026-08-02","software_only","CORES","PRISM.WCAP.CA","NCM Starter","Activated","12.00","0.0","12.00","12.00","0.00","8606610f-7ab8-409d-9687-50bedb2cdb1f","-","Not Applicable","Not Applicable","24SW000338690",0,"SO-137063",-,"2024-03-18","Production",False,"NCM","Not Applicable","SW-NCM-STR-PR","0",12.0,"0.0","0","0","0","2024.3.1.7","2025-10-23","WC-CGY-NXE","00061755-a6a5-3a82-390b-043201f0fd0a","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-11696964","2025-07-25","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02460323","2024-03-18","2026-08-02","software_only","CORES","PRISM.WCAP.CA","NCM Starter","Activated","8.00","0.0","8.00","8.00","0.00","8606610f-7ab8-409d-9687-50bedb2cdb1f","-","Not Applicable","Not Applicable","24SW000338689",0,"SO-137063",-,"2024-03-18","Production",False,"NCM","Not Applicable","SW-NCM-STR-PR","0",8.0,"0.0","0","0","0","2024.3.1.7","2025-10-23","WC-CGY-NXE","00061755-a6a5-3a82-390b-043201f0fd0a","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-11696964","2025-07-25","2025-08-25","For Resale","Renewable","0","TRUE"
