Account Name,Nutanix Sales Order,Asset Serial Number,Asset Model,License Class,License Type,License Name,Asset Contract Start Date,Asset Contract End Date,License Expiry Date,License SKU,Is Invalid License,Product,License Asset Model,Opportunity Name,Order Status,Resale,Renewable,Account Type,Last Sales,Flex Credits Purchased,Flex Credits Consumed,Flex Credits Balance,Flex Credits Expiry Date,Opportunity Close Date,License Sales Order Created Date,Order Type,Account Executive,Account Executive Email
"WhiteCap Resources","SO-051013","18FM52490138, 24SW000338659","NX-6155-G5, SW-NCM-STR-PR","software_only","NCM Starter","LIC-02460360","2018-12-10 00:00:00,2024-03-18 00:00:00","2023-01-05 00:00:00,2026-04-07 00:00:00","2026-04-07","SW-NCM-STR-PR",False,"NCM","Not Applicable","Whitecap-ExtraCapacity-NX-IronClad","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2018-12-05","2020-09-12","Revenue - MITF","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-062283","19SM59310202, 19SM59310210, 19SW000102288, 24SW000338644, 24SW000338660, 24SW000338661, 24SW000338662, 24SW000338663, 24SW000338664, 24SW000338665, 24SW000338666, 24SW000338667, 24SW000338668, 24SW000338669","NX-1175S-G6, SW-AOS-PRO-PRD-3YR, SW-NCI-PRO-PR, SW-NCM-STR-PR","software_only","NCM Starter","LIC-02460335, LIC-02460336, LIC-02460337, LIC-02460338, LIC-02460340, LIC-02460341, LIC-02460343, LIC-02460344, LIC-02460361","2019-08-08 00:00:00,2024-03-18 00:00:00","2025-01-05 00:00:00,2026-04-07 00:00:00","2026-04-07","SW-NCM-STR-PR",False,"NCM","Not Applicable","WhiteCap-ROBO-Q4-IronClad","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2019-07-30","2020-09-12","Revenue - MITF","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-071464","19SM59520478, 19SM59520518, 20SW000126832, 24SW000338647, 24SW000338671, 24SW000338672, 24SW000338673, 24SW000338674, 24SW000338675, 24SW000338676, 24SW000338677, 24SW000338678","NX-1175S-G6, SW-AOS-PRO-PRD-3YR, SW-NCI-PRO-PR, SW-NCM-STR-PR","software_only","NCM Starter","LIC-02460331, LIC-02460345, LIC-02460357, LIC-02460359","2020-01-29 00:00:00,2024-03-18 00:00:00","2025-01-05 00:00:00,2025-12-31 00:00:00,2026-01-05 00:00:00,2026-04-07 00:00:00","2026-01-05, 2026-04-07","SW-NCM-STR-PR",False,"NCM","Not Applicable","WhiteCap-ROBO-Q2-2020-IronClad","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2020-01-22","2020-09-12","Revenue - MITF","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-097353","21SW000173178, 24SW000338650, 24SW000338679, 24SW000338680, 24SW000338681","SW-AOS-PRO-PRD-3YR, SW-NCI-PRO-PR, SW-NCM-STR-PR","software_only","NCM Starter","LIC-02460332, LIC-02460333, LIC-02460334","2021-01-06 00:00:00,2024-03-18 00:00:00","2025-01-06 00:00:00,2026-01-06 00:00:00","2026-01-06","SW-NCM-STR-PR",False,"NCM","Not Applicable","WCAP-Oracle-DX-NAL acquisition-IronClad","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2021-01-07","2021-01-06","SW Only","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-100956","21SM5A100291, 21SW000182936, 24SW000338648, 24SW000338670","NX-8155-G7-CM, SW-AOS-PRO-PRD-3YR, SW-NCI-PRO-PR, SW-NCM-STR-PR","software_only","NCM Starter","LIC-02460319","2021-03-15 00:00:00,2024-03-18 00:00:00","2025-03-14 00:00:00,2026-03-14 00:00:00","2026-03-14","SW-NCM-STR-PR",False,"NCM","Not Applicable","WCAP-Oracle-Add Node-IronClad","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2021-03-08","2021-03-08","Revenue - MITF","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-130400","22SG5H200021, 22SG5H200033, 22SW000240897, 24SW000338654, 24SW000338686, 24SW000338687","NX-8155-G8-CM, SW-AOS-PRO-PRD, SW-NCI-PRO-PR, SW-NCM-STR-PR","software_only","NCM Starter","LIC-02460306, LIC-02460325","2022-06-03 00:00:00,2024-03-18 00:00:00","2025-04-02 00:00:00,2026-04-01 00:00:00,2026-04-02 00:00:00","2026-04-02","SW-NCM-STR-PR",False,"NCM","Not Applicable","KR - NXA CLuster - Node expand","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2022-04-28","2022-04-28","Revenue - MITF","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-137063","22SG5N300039, 22SG5N310011, 22SG5N310015, 22SW000248310, 24SW000338689, 24SW000338690, 24SW000387237, 24SW000387553","NX-1175S-G8-CM, SW-NCI-E-PRO-PR, SW-NCM-STR-PR, SW-ROBO-1VM-PRO-PRD","software_only","NCI Edge Pro, NCM Starter","LIC-02460320, LIC-02460323, LIC-02503296, LIC-02503440","2022-08-03 00:00:00,2024-03-18 00:00:00,2024-11-25 00:00:00,2024-11-26 00:00:00","2025-08-02 00:00:00,2026-08-01 00:00:00,2026-08-02 00:00:00","2026-08-02","SW-NCI-E-PRO-PR, SW-NCM-STR-PR",False,"NCI Edge, NCM","Not Applicable","KR - Whitecap ROBO","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2022-07-27","2022-07-26","Revenue - MITF","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-137249","22SH5N290276, 22SH5N290314, 22SH5N290339, 22SW000250592, 22SW000250593, 24SW000338658, 24SW000338695, 24SW000338696, 24SW000338697, 24SW000340055","NX-1175S-G8-CM, SW-AOS-PRO-PRD, SW-FILES-AOS-1TiB-PRD, SW-NCI-PRO-PR, SW-NCM-STR-PR, SW-NUS-PRO-PR","software_only","NCM Starter","LIC-02460346, LIC-02460350, LIC-02460355","2022-08-09 00:00:00,2024-03-18 00:00:00,2024-03-26 00:00:00","2025-08-08 00:00:00,2026-12-07 00:00:00","2026-12-07","SW-NCM-STR-PR",False,"NCM","Not Applicable","KR - AMD Replace","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2022-07-27","2022-07-27","Revenue - MITF","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-137495","22SG5H290069, 22SW000249397, 24SW000338656, 24SW000338691","NX-8155-G8-CM, SW-AOS-PRO-PRD, SW-NCI-PRO-PR, SW-NCM-STR-PR","software_only","NCI Pro, NCM Starter","LIC-02460312, LIC-02460347","2022-08-05 00:00:00,2024-03-18 00:00:00","2025-08-04 00:00:00,2026-08-03 00:00:00,2026-08-04 00:00:00","2026-08-04","SW-NCI-PRO-PR, SW-NCM-STR-PR",False,"NCI, NCM","Not Applicable","KR - XTO Expand","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2022-07-28","2022-07-28","Revenue - MITF","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-137998","22SH5N320139, 22SH5N320144, 22SH5N320149, 22SW000250558, 22SW000250559, 24SW000338657, 24SW000338692, 24SW000338693, 24SW000338694, 24SW000340054","NX-1175S-G8-CM, SW-AOS-PRO-PRD, SW-FILES-AOS-1TiB-PRD, SW-NCI-PRO-PR, SW-NCM-STR-PR, SW-NUS-PRO-PR","software_only","NCI Pro, NCM Starter","LIC-02460313, LIC-02460327, LIC-02460348, LIC-02460349","2022-08-09 00:00:00,2024-03-18 00:00:00,2024-03-26 00:00:00","2025-08-08 00:00:00,2026-08-07 00:00:00,2026-08-08 00:00:00","2026-08-08","SW-NCI-PRO-PR, SW-NCM-STR-PR",False,"NCI, NCM","Not Applicable","KR - Keybob 3 Node","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2022-07-29","2022-07-29","Revenue - MITF","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-150385","22SH5G520225, 23SW000276844, 24SW000338688, 24SW000387236","NX-1120S-G7-CM, SW-NCI-E-PRO-PR, SW-NCM-STR-PR, SW-ROBO-1VM-PRO-PRD","software_only","NCI Edge Pro, NCM Starter","LIC-02460356, LIC-02503297","2023-02-07 00:00:00,2024-03-18 00:00:00,2024-11-25 00:00:00","2026-02-06 00:00:00","2026-02-06","SW-NCI-E-PRO-PR, SW-NCM-STR-PR",False,"NCI Edge, NCM","Not Applicable","KR - Single ROBO Site","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2023-01-30","2023-01-30","Revenue - MITF","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-162951","23SH5G300466, 23SW000303033, 24SW000338698, 24SW000387238","NX-1120S-G7-CM, SW-NCI-E-PRO-PR, SW-NCM-STR-PR, SW-ROBO-1VM-PRO-PRD","software_only","NCI Edge Pro, NCM Starter","LIC-02460353, LIC-02503298","2023-08-08 00:00:00,2024-03-18 00:00:00,2024-11-25 00:00:00","2026-08-07 00:00:00","2026-08-07","SW-NCI-E-PRO-PR, SW-NCM-STR-PR",False,"NCI Edge, NCM","Not Applicable","Whitecap - 1N ROBO 3rd Site - Ironclad - NX","Fully Shipped","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2023-07-24","2023-07-24","Revenue - MITF","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-162958","23SH5G300469, 23SW000303614, 24SW000338700, 24SW000387239","NX-1120S-G7-CM, SW-NCI-E-PRO-PR, SW-NCM-STR-PR, SW-ROBO-1VM-PRO-PRD","software_only","NCI Edge Pro, NCM Starter","LIC-02460354, LIC-02503299","2023-08-09 00:00:00,2024-03-18 00:00:00,2024-11-25 00:00:00","2026-08-08 00:00:00","2026-08-08","SW-NCI-E-PRO-PR, SW-NCM-STR-PR",False,"NCI Edge, NCM","Not Applicable","Whitecap - 1N ROBO Butte - Ironclad - NX","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2023-07-25","2023-07-24","Revenue - MITF","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-162959","23SH5G300474, 23SW000303615, 24SW000338699, 24SW000387240","NX-1120S-G7-CM, SW-NCI-E-PRO-PR, SW-NCM-STR-PR, SW-ROBO-1VM-PRO-PRD","software_only","NCI Edge Pro, NCM Starter","LIC-02460358, LIC-02503300","2023-08-09 00:00:00,2024-03-18 00:00:00,2024-11-25 00:00:00","2026-08-08 00:00:00","2026-08-08","SW-NCI-E-PRO-PR, SW-NCM-STR-PR",False,"NCI Edge, NCM","Not Applicable","Whitecap - 1N ROBO Suffield - Ironclad - NX","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2023-07-24","2023-07-24","Revenue - MITF","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-170037","23SW000314849, 23SW000314850","SW-NCI-PRO-PR, SW-NCM-STR-PR","software_only","NCI Pro, NCM Starter","LIC-02430495, LIC-02430496","2023-11-01 00:00:00","2026-10-31 00:00:00","2026-10-31","SW-NCI-PRO-PR, SW-NCM-STR-PR",False,"NCI, NCM","Not Applicable","WhiteCap - 1N Weyburn Cluster - IronClad - HX AMD","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2023-10-27","2023-10-27","SW Only","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-171961","23SG5N460002, 23SW000322706, 23SW000322707","NX-1175S-G8-CM, SW-NCI-PRO-PR, SW-NCM-STR-PR","software_only","NCM Starter","LIC-02439448","2023-12-08 00:00:00","2026-12-07 00:00:00","2026-12-07","SW-NCM-STR-PR",False,"NCM","Not Applicable","WhiteCap - NXD All Flash TR - IronClad - NX","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2023-11-22","2023-11-22","Revenue - MITF","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-178871","24SW000346445, 24SW000346446","SW-EUC-ULT-PR, SW-NCM-STR-PR","software_only","EUC Ultimate, NCM Starter","LIC-02467717, LIC-02467718","2024-04-30 00:00:00","2027-04-29 00:00:00","2027-04-29","SW-EUC-ULT-PR, SW-NCM-STR-PR",False,"EUC, NCM","Not Applicable","Whitecap - Petrel VDI Project - IronClad - NX","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2024-03-07","2024-02-27","SW Only","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-178893","24SW000346044, 24SW000346045","SW-NCI-PRO-PR, SW-NCM-STR-PR","software_only","NCM Starter","LIC-02467375","2024-04-30 00:00:00","2027-04-29 00:00:00","2027-04-29","SW-NCM-STR-PR",False,"NCM","Not Applicable","WhiteCap - NXA All Flash TR - IronClad - HXCN","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2024-03-05","2024-02-27","SW Only","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-179188","24SW000335802","SW-NUS-PRO-PR","software_only","NUS Pro","LIC-02456986","2024-02-29 00:00:00","2026-02-27 00:00:00","2026-02-27","SW-NUS-PRO-PR",False,"NUS","Not Applicable","WhiteCap - 220 TiBs NUS + 1YR free NDL - IronClad - SWO","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2024-02-29","2024-02-29","SW Only","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-181898","24SW000346447, 24SW000346448","SW-NCI-E-PRO-PR, SW-NCM-STR-PR","software_only","NCI Edge Pro, NCM Starter","LIC-02467719, LIC-02467720","2024-04-30 00:00:00","2027-04-29 00:00:00","2027-04-29","SW-NCI-E-PRO-PR, SW-NCM-STR-PR",False,"NCI Edge, NCM","Not Applicable","WhiteCap - 22VMs for ROBO - IronClad - SWO","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2024-04-11","2024-04-11","SW Only","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-182862","24SW000346449, 24SW000346450","SW-NCI-PRO-PR, SW-NCM-STR-PR","software_only","NCM Starter","LIC-02467722","2024-04-30 00:00:00","2027-04-29 00:00:00","2027-04-29","SW-NCM-STR-PR",False,"NCM","Not Applicable","Whitecap - DRaaS - Ironclad TEK - NC2 on AWS","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2024-04-26","2024-04-25","SW Only","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-191731","24SH5T320510, 24SW000371278, 24SW000371279","NX-1175S-G9-CM, SW-NCI-PRO-PR, SW-NCM-STR-PR","software_only","NCI Pro, NCM Starter","LIC-02490226, LIC-02490227","2024-09-03 00:00:00","2027-09-02 00:00:00","2027-09-02","SW-NCI-PRO-PR, SW-NCM-STR-PR",False,"NCI, NCM","Not Applicable","Whitecap - 1N expansion WC-WEY-NXA - Ironclad - NX","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2024-08-26","2024-08-26","Revenue - MITF","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-202310","25SG5T050013, 25SG5T050031, 25SG5T050033, 25SW000403109, 25SW000403110","NX-1175S-G9-CM, SW-NCI-E-PRO-PR, SW-NCM-E-STR-PR","software_only","NCI Edge Pro, NCM Edge Starter","LIC-02514477, LIC-02514478","2025-02-04 00:00:00","2028-02-03 00:00:00","2028-02-03","SW-NCI-E-PRO-PR, SW-NCM-E-STR-PR",False,"NCI Edge, NCM Edge","Not Applicable","Whitecap - 3VM 3N WC-MUS-NXA - LVS - NX","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2025-01-14","2025-01-14","Revenue - MITF","Scott Sefcik","scott.sefcik@nutanix.com"
"WhiteCap Resources","SO-203382","25SG5T050042, 25SG5T050045, 25SG5T050058, 25SW000403758, 25SW000403759","NX-1175S-G9-CM, SW-NCI-E-PRO-PR, SW-NCM-E-STR-PR","software_only","NCI Edge Pro, NCM Edge Starter","LIC-02514803, LIC-02514804","2025-02-06 00:00:00","2028-02-05 00:00:00","2028-02-05","SW-NCI-E-PRO-PR, SW-NCM-E-STR-PR",False,"NCI Edge, NCM Edge","Not Applicable","Whitecap - 3VM 3N Duplicate - LVS - NX","Invoiced","FR","Renewable","Customer","2025-08-25",0,0,0,-,"2025-01-27","2025-01-27","Revenue - MITF","Scott Sefcik","scott.sefcik@nutanix.com"
