Linked Opportunity: Account Name,Registration: ID,Registration: Registration Name,Nutanix Software Products,Partner / OEM Account Name,Linked Opportunity: Opportunity ID,Linked Opportunity: Opportunity Name,Linked Opportunity: Stage,Partner's Preferred Distributor,Linked Opportunity: Distributor Company Name,OEM Reseller Company,Linked Opportunity: Reseller/OEM Name,Linked Opportunity: Workloads,Linked Opportunity: Primary Workload,Linked Opportunity: Product Picklist,Is Primary Registration,Linked Opportunity: Primary Contact,Created Date/Time
WhiteCap Resources,a2C0e0000022Bvy,Reg58200,,Ironclad TEK Inc.,0060e00001qp4Rp,Whitecap-ExtraCapacity-NX-IronClad,8 - Closed Won,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,Other,,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,0,,11/21/2017 2:33 PM
WhiteCap Resources,a2C0e000002aKtT,Reg90844,,Ironclad TEK Inc.,0060e00001qp4Rp,Whitecap-ExtraCapacity-NX-IronClad,8 - Closed Won,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,Other,,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,7/31/2018 8:25 AM
WhiteCap Resources,a2C0e000002UKyt,Reg116241,AOS Related Software,Ironclad TEK Inc.,0060e00001r2O1D,WhiteCap-Oracle-NX-IronClad,8 - Closed Won,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,,Enterprise Apps-Oracle Apps & DB,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,2/20/2019 1:39 PM
WhiteCap Resources,a2C0e000002Xj15,Reg85281,,Ironclad TEK Inc.,0060e00001rSXOH,WhiteCap-newROBO-NX-IronClad,8 - Closed Won,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,,,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,6/19/2018 1:33 PM
WhiteCap Resources,a2C0e000002QmKp,Reg123421,None,Ironclad TEK Inc.,0060e00001tgUyE,WhiteCap-ROBO-Q4-IronClad,8 - Closed Won,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,,,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,4/10/2019 8:29 PM
WhiteCap Resources,a2C0e000003qh6A,Reg165254,AOS Related Software,Ironclad TEK Inc.,0060e00001ufIcq,WCAP-Prism Pro-IronClad,9 - Disqualified,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,,,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,2/19/2020 2:09 PM
WhiteCap Resources,a2C0e000003ZWSg,Reg180255,AOS Related Software,Ironclad TEK Inc.,0060e00001xi18X,WCAP-Oracle-DX-NAL acquisition-IronClad,8 - Closed Won,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,,,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,6/25/2020 9:32 AM
WhiteCap Resources,a2C0e000004pUMO,Reg212843,Cloud Services - Files,Ironclad TEK Inc.,0060e00001yl01e,WCAP-Files License Upgrade-IronClad-2021-Q3,8 - Closed Won,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,,Enterprise Apps-SQL Server,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,2/9/2021 9:22 AM
WhiteCap Resources,a2C0e0000050WsV,Reg225211,AOS Related Software,Ironclad TEK Inc.,0060e00001zHwmo,Whitecap_ROBO_Ironclad,9 - Disqualified,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,,,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,4/26/2021 1:57 PM
WhiteCap Resources,a2C320000006Hqk,Reg06889,,Insight Canada,0063200001jxPYQ,Whitecap_ServerVirt_DR_Longview,8 - Closed Won,TENVA TS CANADA ULC,Ingram Micro Canada,,Long View Systems - Canada,Microsoft SQL Server; Microsoft Windows Server Virtualization,,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,0,,9/1/2016 9:35 AM
WhiteCap Resources,a2C32000001Q9XA,Reg15034,,Long View Systems - Canada,0063200001jxPYQ,Whitecap_ServerVirt_DR_Longview,8 - Closed Won,Ingram Micro Canada,Ingram Micro Canada,,Long View Systems - Canada,Microsoft SQL Server; Microsoft Windows Server Virtualization,,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,11/17/2016 3:26 PM
WhiteCap Resources,a2C7V00000511MG,Reg245031,,Ironclad TEK Inc.,0067V00001zJhgg,KR - FY22 HPE Cluster Expand,8 - Closed Won,,Ingram Micro Canada,,Ironclad TEK Inc.,,Others - please specify in win notes,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,9/9/2021 1:59 PM
WhiteCap Resources,a2C7V0000051MCM,Reg260653,,Ironclad TEK Inc.,0067V00001zJmG1,KR - RAM Expand,8 - Closed Won,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,,Others - please specify in win notes,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,12/29/2021 5:03 PM
WhiteCap Resources,a2C7V0000051XNk,Reg269016,,Ironclad TEK Inc.,0067V00001zJt7s,KR - AFS Expand FY22,8 - Closed Won,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,,,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,3/2/2022 3:46 PM
WhiteCap Resources,a2C7V0000051P4z,Reg262826,,Ironclad TEK Inc.,0067V00001zKAEm,KR - Files for FY22,9 - Disqualified,Ingram Micro Canada,,,,,,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,0,,1/18/2022 10:35 AM
WhiteCap Resources,a2C7V0000051NgD,Reg261772,,Ironclad TEK Inc.,0067V000020RUuS,KR - 3 node ROBO Expand,8 - Closed Won,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,,,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,1/11/2022 6:44 AM
WhiteCap Resources,a2C7V0000051Irf,Reg258097,,Ironclad TEK Inc.,0067V000020RUwi,KR - 1 node Oracle HPE Expand,8 - Closed Won,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,,Enterprise Apps-Oracle Apps & DB,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,12/8/2021 2:47 PM
WhiteCap Resources,a2C7V000004cuYS,Reg295851,,Lenovo Group Americas,0067V000020bYRC,KR/Lenovo - ThinkAgile HX1000,9 - Disqualified,,,Ingram Micro Canada,Lenovo Group Americas,,,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,12/13/2022 9:00 AM
WhiteCap Resources,a2C7V0000051g64,Reg275537,AOS Related Software,Ironclad TEK Inc.,0067V000021ZLej,KR - NXA CLuster - Node expand,8 - Closed Won,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,,Others - please specify in win notes,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,4/28/2022 12:48 PM
WhiteCap Resources,a2C7V0000043W4V,Reg311823,,Ironclad TEK Inc.,0067V000026vKzu,Whitecap - Petrel VDI Project - IronClad - NX,8 - Closed Won,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,,5 - EUC / VDI,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,6/22/2023 12:07 PM
WhiteCap Resources,a2C7V000006jd9c,Reg317275,,Ironclad TEK Inc.,0067V00002AUE9g,Whitecap - NXC ORCL Cluster TR - IronClad - NX,9 - Disqualified,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,,Databases,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,0,,9/1/2023 2:24 PM
WhiteCap Resources,a2CVO000000N2lt,Reg334544,,Ironclad TEK Inc.,0067V00002AUE9g,Whitecap - NXC ORCL Cluster TR - IronClad - NX,9 - Disqualified,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,,Databases,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,1/24/2024 10:31 AM
WhiteCap Resources,a2C7V000006jd9N,Reg317272,,Ironclad TEK Inc.,0067V00002AUg0C,WhiteCap - 22VMs for ROBO - IronClad - SWO,8 - Closed Won,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,,Enterprise Applications,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,9/1/2023 2:20 PM
WhiteCap Resources,a2C7V000006jd9X,Reg317274,,Ironclad TEK Inc.,0067V00002AUjVU,WhiteCap - General VDI Cluster - IronClad - NX,9 - Disqualified,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,,5 - EUC / VDI,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,9/1/2023 2:23 PM
WhiteCap Resources,a2C7V000006jd9S,Reg317273,,Ironclad TEK Inc.,0067V00002AUjVj,WhiteCap - NXA All Flash TR - IronClad - HXCN,8 - Closed Won,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,,Enterprise Applications,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,0,,9/1/2023 2:21 PM
WhiteCap Resources,a2CVO000000N4R7,Reg334552,,Ironclad TEK Inc.,0067V00002AUjVj,WhiteCap - NXA All Flash TR - IronClad - HXCN,8 - Closed Won,Ingram Micro Canada,Ingram Micro Canada,,Ironclad TEK Inc.,,Enterprise Applications,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Central; Nutanix Cloud Clusters (NC2); Nutanix Database Service; Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,1/24/2024 11:35 AM
