Cluster Name,Cluster UUID,Policy Name,Policy Description,Discovery Type,Primary Entity Type,Primary Impact,Status,Severity,Recommendation 1,First Discovered,Last Discovered,Discovery Message,State,Recommendation 2,AOS/PC Version,Visibility,Manual Resolvable,Account Name,Account Executive,Account Executive Email,Managing PC Name,Managing PC UUID,Hypervisor Version,LCM Version,Foundation Version,Block Serial Number,Experimental Policy,Last Pulse,Is Snoozed,Snooze Start Time,Snooze End Time,Snooze Set By
"WC-KWA-NXA",000581e3-76ec-96d8-0000-000000027cc9,D3-0336,"Detected Disaster Recovery is enabled on this cluster - upgrading either the source or target cluster to AOS 7.3.0.5 may disrupt DR workflows","General Issue",Cluster,"-",Opened,Warning,"Follow KB article",2025-08-28 17:29,2025-10-23 18:03,"The cluster **(Name: WC-KWA-NXA, UUID: 000581e3-76ec-96d8-0000-000000027cc9)** has Disaster recovery enabled.   Upgrading either the source or target cluster to AOS 7.3.0.5 may disrupt DR workflows, including protection, replication, and failovers, due to port 2020 being disabled by default.    Clusters with 0-RPO configured may also experience Stargate service instability after the upgrade.",Bad,"-","6.10.1",External,True,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","20230302","3.2.1.71663","foundation-5.7.1-b100e38c",19SM59050144,False,2025-10-23,False,-,-,-
"WC-KWA-NXA",000581e3-76ec-96d8-0000-000000027cc9,D3-0337,"Cluster-wide Acropolis service restarts may impact VM availability","General Issue",Cluster,"-",Opened,Warning,"Upgrade AHV",2025-09-11 17:49,2025-10-23 18:04,"The WC-KWA-NXA (UUID: 000581e3-76ec-96d8-0000-000000027cc9) cluster may experience Acropolis service restarts, impacting VM availability.",Bad,"-","6.10.1",External,True,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","20230302","3.2.1.71663","foundation-5.7.1-b100e38c",19SM59050144,False,2025-10-23,False,-,-,-
"WC-RMHNTNX01",0005902a-f77c-9576-0000-00000002a6eb,D3-0337,"Cluster-wide Acropolis service restarts may impact VM availability","General Issue",Cluster,"-",Opened,Warning,"Upgrade AHV",2025-09-11 17:49,2025-10-23 18:04,"The WC-RMHNTNX01 (UUID: 0005902a-f77c-9576-0000-00000002a6eb) cluster may experience Acropolis service restarts, impacting VM availability.",Bad,"-","6.10.1",External,True,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","20230302","3.2.1.71663","foundation-5.7.1-b100e38c",19SM59310210,False,2025-10-23,False,-,-,-
"WC-BDLNTNX01",0005902b-e433-72e8-0000-00000002a6e3,D3-0337,"Cluster-wide Acropolis service restarts may impact VM availability","General Issue",Cluster,"-",Opened,Warning,"Upgrade AHV",2025-09-11 17:49,2025-10-23 18:04,"The WC-BDLNTNX01 (UUID: 0005902b-e433-72e8-0000-00000002a6e3) cluster may experience Acropolis service restarts, impacting VM availability.",Bad,"-","6.10.1",External,True,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","20230302","3.2.1.71663","foundation-5.7.1-b100e38c",19SM59310202,False,2025-10-23,False,-,-,-
"WC-CYNNTNX01",00059f6d-e733-a513-0000-00000002b8cd,D3-0336,"Detected Disaster Recovery is enabled on this cluster - upgrading either the source or target cluster to AOS 7.3.0.5 may disrupt DR workflows","General Issue",Cluster,"-",Opened,Warning,"Follow KB article",2025-08-28 17:29,2025-10-23 18:04,"The cluster **(Name: WC-CYNNTNX01, UUID: 00059f6d-e733-a513-0000-00000002b8cd)** has Disaster recovery enabled.   Upgrading either the source or target cluster to AOS 7.3.0.5 may disrupt DR workflows, including protection, replication, and failovers, due to port 2020 being disabled by default.    Clusters with 0-RPO configured may also experience Stargate service instability after the upgrade.",Bad,"-","6.10.1",External,True,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","20230302","3.2.1.71663","foundation-5.7.1-b100e38c",19SM59520518,False,2025-10-23,False,-,-,-
"WC-CYNNTNX01",00059f6d-e733-a513-0000-00000002b8cd,D3-0337,"Cluster-wide Acropolis service restarts may impact VM availability","General Issue",Cluster,"-",Opened,Warning,"Upgrade AHV",2025-09-11 17:49,2025-10-23 18:05,"The WC-CYNNTNX01 (UUID: 00059f6d-e733-a513-0000-00000002b8cd) cluster may experience Acropolis service restarts, impacting VM availability.",Bad,"-","6.10.1",External,True,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","20230302","3.2.1.71663","foundation-5.7.1-b100e38c",19SM59520518,False,2025-10-23,False,-,-,-
"WC-GLNNTNX01",0005a0fe-ace6-1f1b-0000-00000002b8a5,D3-0337,"Cluster-wide Acropolis service restarts may impact VM availability","General Issue",Cluster,"-",Opened,Warning,"Upgrade AHV",2025-09-11 17:49,2025-10-23 18:04,"The WC-GLNNTNX01 (UUID: 0005a0fe-ace6-1f1b-0000-00000002b8a5) cluster may experience Acropolis service restarts, impacting VM availability.",Bad,"-","6.10.1",External,True,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","20230302","3.2.1.71663","foundation-5.7.1-b100e38c",19SM59520478,False,2025-10-23,False,-,-,-
"WC-GLNNTNX01",0005a0fe-ace6-1f1b-0000-00000002b8a5,D3-0336,"Detected Disaster Recovery is enabled on this cluster - upgrading either the source or target cluster to AOS 7.3.0.5 may disrupt DR workflows","General Issue",Cluster,"-",Opened,Warning,"Follow KB article",2025-08-28 17:29,2025-10-23 18:02,"The cluster **(Name: WC-GLNNTNX01, UUID: 0005a0fe-ace6-1f1b-0000-00000002b8a5)** has Disaster recovery enabled.   Upgrading either the source or target cluster to AOS 7.3.0.5 may disrupt DR workflows, including protection, replication, and failovers, due to port 2020 being disabled by default.    Clusters with 0-RPO configured may also experience Stargate service instability after the upgrade.",Bad,"-","6.10.1",External,True,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","20230302","3.2.1.71663","foundation-5.7.1-b100e38c",19SM59520478,False,2025-10-23,False,-,-,-
"WC-CGY-NXB",0005bc41-a88b-e6a0-6a7b-9440c9b3e5dc,D3-0337,"Cluster-wide Acropolis service restarts may impact VM availability","General Issue",Cluster,"-",Opened,Warning,"Upgrade AHV",2025-09-11 17:49,2025-10-23 18:04,"The WC-CGY-NXB (UUID: 0005bc41-a88b-e6a0-6a7b-9440c9b3e5dc) cluster may experience Acropolis service restarts, impacting VM availability.",Bad,"-","6.10.1",External,True,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","20230302","3.2.1.71663","foundation-5.9.0.3-9e8ff29f",2M21020DDG,False,2025-10-23,False,-,-,-
"WC-CGY-NXC",0005bfe0-8958-715b-6f9b-d4f5ef1b0ce0,D3-0336,"Detected Disaster Recovery is enabled on this cluster - upgrading either the source or target cluster to AOS 7.3.0.5 may disrupt DR workflows","General Issue",Cluster,"-",Opened,Warning,"Follow KB article",2025-08-28 17:29,2025-10-23 17:55,"The cluster **(Name: WC-CGY-NXC, UUID: 0005bfe0-8958-715b-6f9b-d4f5ef1b0ce0)** has Disaster recovery enabled.   Upgrading either the source or target cluster to AOS 7.3.0.5 may disrupt DR workflows, including protection, replication, and failovers, due to port 2020 being disabled by default.    Clusters with 0-RPO configured may also experience Stargate service instability after the upgrade.",Bad,"-","6.10.1",External,True,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","20230302","3.2.1.71663","foundation-5.7.1-b100e38c",MXQ1031912,False,2025-10-23,False,-,-,-
"WC-CGY-NXC",0005bfe0-8958-715b-6f9b-d4f5ef1b0ce0,D3-0337,"Cluster-wide Acropolis service restarts may impact VM availability","General Issue",Cluster,"-",Opened,Warning,"Upgrade AHV",2025-09-11 17:49,2025-10-23 18:02,"The WC-CGY-NXC (UUID: 0005bfe0-8958-715b-6f9b-d4f5ef1b0ce0) cluster may experience Acropolis service restarts, impacting VM availability.",Bad,"-","6.10.1",External,True,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","20230302","3.2.1.71663","foundation-5.7.1-b100e38c",MXQ1031912,False,2025-10-23,False,-,-,-
"WC-WEY-NXA",0005c575-5610-8b63-6cd3-3cecef5abbeb,D3-0336,"Detected Disaster Recovery is enabled on this cluster - upgrading either the source or target cluster to AOS 7.3.0.5 may disrupt DR workflows","General Issue",Cluster,"-",Opened,Warning,"Follow KB article",2025-08-28 17:29,2025-10-23 18:01,"The cluster **(Name: WC-WEY-NXA, UUID: 0005c575-5610-8b63-6cd3-3cecef5abbeb)** has Disaster recovery enabled.   Upgrading either the source or target cluster to AOS 7.3.0.5 may disrupt DR workflows, including protection, replication, and failovers, due to port 2020 being disabled by default.    Clusters with 0-RPO configured may also experience Stargate service instability after the upgrade.",Bad,"-","6.10.1",External,True,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","20230302","3.2.1.71663","foundation-5.7.1-b100e38c",21FM5E140100,False,2025-10-23,False,-,-,-
