Cluster Name,Cluster UUID,Account Name,Account Executive Email,Account Executive,Theater,Region,Sub-Region,Storage Container Name,Storage Container UUID,Storage Pool Name,Storage Pool UUID,Compression Type,Finger Print Enabled,Replication Factor,Compression Enabled,Deduplication Enabled,Erasure Coding Enabled,Implicit Reserved Capacity (In TiB),Explicit Reserved Capacity (In TiB),Dedup Policy,Erasure Code,AOS/PC Version,NCC Version,Cluster Fault Tolerance,Last Pulse
"WC-CGY-NXB",0005bc41-a88b-e6a0-6a7b-9440c9b3e5dc,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,NutanixManagementShare,02bad731-cc35-4536-81d8-4dee747b13d4,Not Found,Not Found,0.0,False,2,True,False,False,-,-,-,-,"6.10.1","5.2.1","FT1/RF2",2025-10-23
"WC-CGY-NXC",0005bfe0-8958-715b-6f9b-d4f5ef1b0ce0,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,wc-cgy-nxc01-CN1,02c1802a-13e0-49c7-b48f-096ffcb39294,Not Found,Not Found,-,False,2,False,False,False,-,0,0.0,-,"6.10.1","5.1.0","FT1/RF2",2025-10-23
"WC-STR-NXA",00061057-fe1d-855f-4235-3cecefdb38a6,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,SelfServiceContainer,074ff2e6-f68f-4a68-b06c-9daa798198b4,default-storage-pool-62079400259280,3084ae26-0e74-475a-8382-9d76f9cad7f0,-,False,2,False,False,False,-,-,-,-,"6.10.1","5.1.0","FT1/RF2",2025-10-23
"WC-RMHNTNX01",0005902a-f77c-9576-0000-00000002a6eb,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,NutanixManagementShare,0c155809-3139-4578-9da3-37a07a1254f0,default-storage-pool-173803,cd8c32a8-b87a-4534-a6ac-8370e8669e70,0.0,False,2,True,False,False,-,-,-,-,"6.10.1","5.1.0","FT1/RF2",2025-10-23
"WC-KWA-NXB",000610ba-e6e5-b3ee-69b2-3cecefdb38b1,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,NutanixManagementShare,0c7b5900-cca5-46f4-831f-1f23fd21c6f8,default-storage-pool-5676102771936,b60f431e-a882-4e23-81d2-91c9da28dffa,0.0,False,2,True,False,False,-,-,-,-,"6.10.1","5.2.1","FT1/RF2",2025-10-23
"WC-BUT-NXA",000619c2-e438-a495-7e41-3cecefdb38c5,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,NutanixManagementShare,0dd68055-7d32-4c09-86cb-02f34335c66f,Not Found,Not Found,0.0,False,2,True,False,False,-,-,-,-,"6.10.1","5.1.0","FT1/RF2",2025-10-23
"WC-KWA-NXB",000610ba-e6e5-b3ee-69b2-3cecefdb38b1,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,SelfServiceContainer,0f18771c-7894-4bc9-8d07-ff00d512c024,default-storage-pool-5676102771936,b60f431e-a882-4e23-81d2-91c9da28dffa,-,False,2,False,False,False,-,-,-,-,"6.10.1","5.2.1","FT1/RF2",2025-10-23
"WC-CGY-NXE",00061755-a6a5-3a82-390b-043201f0fd0a,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,objectsl96d5eee734374fe370b0a2e6748e17c7,106d1801-9e64-4345-807d-c334eec96400,Not Found,Not Found,0.0,False,2,True,False,False,-,-,-,-,"6.10.1","5.2.0","FT1/RF2",2025-10-23
"WC-RMHNTNX01",0005902a-f77c-9576-0000-00000002a6eb,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,default-container-173803,110a0316-7137-4afe-bcd1-901daa5e9f7f,default-storage-pool-173803,cd8c32a8-b87a-4534-a6ac-8370e8669e70,-,False,2,False,False,False,-,-,-,-,"6.10.1","5.1.0","FT1/RF2",2025-10-23
"WC-GLNNTNX01",0005a0fe-ace6-1f1b-0000-00000002b8a5,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,default-container-178341,121d4f31-74af-4899-84d8-7da0d68796e9,default-storage-pool-178341,b35919fa-7bb2-46ae-9376-aca1624db979,-,False,2,False,False,False,-,-,-,-,"6.10.1","5.1.0","FT1/RF2",2025-10-23
"WC-WAP-NXA",0006051a-66b0-8597-37b6-3cecefd475d3,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,SelfServiceContainer,1499dcd2-dddd-4e62-8c8b-bc61b56469dc,default-storage-pool-25834721275695,ba3a5c69-10c5-46a3-85da-e884d125a458,-,False,2,False,False,False,-,-,-,-,"6.10.1","5.2.1","FT1/RF2",2025-10-23
"WC-KBP-NXB",0005e716-0b5a-1bf7-1c68-3ceceffe1b50,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,default-container-15785385840824,1504ae0a-e184-4d75-9eaa-52aff4088714,Not Found,Not Found,0.0,True,2,True,True,False,-,0,2.0,-,"6.10.1","5.2.1","FT1/RF2",2025-10-23
"WC-DUV-NXA",00061a29-6e0f-ec03-7d55-7cc255e24fe7,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,default-container-37703196582691,16095eff-7c85-4a1d-baf8-9c13e8c2968f,default-storage-pool-37703196582691,8097f1f0-e113-42d5-bed5-0a90eb16ede4,-,False,2,False,False,False,-,-,-,-,"6.10.1","5.1.0","FT1/RF2",2025-10-23
"WC-FOS-NXA",000619ff-ccac-366c-26f0-7cc255e24fc9,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,SelfServiceContainer,1690f53c-47a9-4f32-9e36-8794fafdf809,default-storage-pool-83858006684554,a60432f2-5ad6-47f8-9d23-8d279f038a34,-,False,2,False,False,False,-,-,-,-,"6.10.1","5.1.0","FT1/RF2",2025-10-23
"WC-CGY-NXC",0005bfe0-8958-715b-6f9b-d4f5ef1b0ce0,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,NutanixManagementShare,187d75d3-b6cb-4316-8666-e22fef15eca1,Not Found,Not Found,0.0,False,2,True,False,False,-,-,-,-,"6.10.1","5.1.0","FT1/RF2",2025-10-23
"WC-OLDS-NXA",00061a02-c6d8-af73-118f-7cc255e25075,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,SelfServiceContainer,190ed286-5063-4626-9b81-139465543003,default-storage-pool-59044353331635,ce9fc3ca-2d11-4633-b38b-3eded816e0d6,-,False,2,False,False,False,-,-,-,-,"6.10.1","5.1.0","FT1/RF2",2025-10-23
"WC-RMHNTNX01",0005902a-f77c-9576-0000-00000002a6eb,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,SelfServiceContainer,1b879cf7-1120-421d-a2a8-1a069899e9b4,default-storage-pool-173803,cd8c32a8-b87a-4534-a6ac-8370e8669e70,-,False,2,False,False,False,-,-,-,-,"6.10.1","5.1.0","FT1/RF2",2025-10-23
"DR-AWS-NXA",00062138-280a-23fc-d265-1cc0ae5e57ab,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,WC-AWS-STORAGE,1c08df92-c2e3-432f-bea7-a77dab3bf53b,Not Found,Not Found,0.0,False,2,True,False,False,-,-,0.0,-,"7.0.1","5.1.1","FT1/RF2",2025-10-23
"WC-CGY-NXD",0005e704-225b-e742-16fd-3ceceffe1ca0,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,SelfServiceContainer,212883f8-785b-4dde-9e23-bad68c751e24,Not Found,Not Found,-,False,2,False,False,False,-,-,-,-,"6.10.1","5.2.1","FT1/RF2",2025-10-23
"WC-WAP-NXA",0006051a-66b0-8597-37b6-3cecefd475d3,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,default-container-25834721275695,27343af9-1a4f-4d77-8d59-adf2e45d62ba,default-storage-pool-25834721275695,ba3a5c69-10c5-46a3-85da-e884d125a458,-,False,2,False,False,False,-,-,-,-,"6.10.1","5.2.1","FT1/RF2",2025-10-23
"WC-GCK-NXA",00063e9d-48cc-f8c3-5293-7cc255ec2d38,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,NutanixManagementShare,2752dc87-24a6-43a0-a238-052c15c14937,Not Found,Not Found,0.0,False,2,True,False,False,-,-,-,-,"6.10.1","5.0.1.1","FT1/RF2",2025-10-23
"WC-CGY-NXD",0005e704-225b-e742-16fd-3ceceffe1ca0,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,NutanixManagementShare,2ae613fd-ce52-4d1e-9988-df86c1ce9c29,Not Found,Not Found,0.0,False,2,True,False,False,-,-,-,-,"6.10.1","5.2.1","FT1/RF2",2025-10-23
"WC-GCK-NXA",00063e9d-48cc-f8c3-5293-7cc255ec2d38,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,default-container-55545064966768,2c801876-5410-4da2-841e-f1be81d6d3e5,Not Found,Not Found,-,False,2,False,False,False,-,-,-,-,"6.10.1","5.0.1.1","FT1/RF2",2025-10-23
"WC-CGY-NXB",0005bc41-a88b-e6a0-6a7b-9440c9b3e5dc,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,Nutanix_WC-CGY-AFS01_ctr,2d7c79a2-332b-4fc9-94cf-974010f0d052,Not Found,Not Found,0.0,False,2,True,False,True,-,0,0.0,*/1,"6.10.1","5.2.1","FT1/RF2",2025-10-23
"WC-KBP-NXB",0005e716-0b5a-1bf7-1c68-3ceceffe1b50,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,NutanixManagementShare,330485f6-1516-414e-8359-0fd20a42e779,Not Found,Not Found,0.0,False,2,True,False,False,-,-,-,-,"6.10.1","5.2.1","FT1/RF2",2025-10-23
"WC-DUV-NXA",00061a29-6e0f-ec03-7d55-7cc255e24fe7,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,SelfServiceContainer,382f23bf-3053-41db-adaf-f0d100308538,default-storage-pool-37703196582691,8097f1f0-e113-42d5-bed5-0a90eb16ede4,-,False,2,False,False,False,-,-,-,-,"6.10.1","5.1.0","FT1/RF2",2025-10-23
"WC-CGY-NXC",0005bfe0-8958-715b-6f9b-d4f5ef1b0ce0,"WhiteCap Resources","scott.sefcik@nutanix.com","Scott Sefcik",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,SelfServiceContainer,3b154702-fead-497a-9205-9ec1df8c6f22,Not Found,Not Found,-,False,2,False,False,False,-,-,-,-,"6.10.1","5.1.0","FT1/RF2",2025-10-23
