Node UUID,Node Serial Number,Node Model,Node License Mode,Install Location,Cluster Name,Contract Status,Account Name,Account Executive,Account Executive Email,Incumbent Reseller,Incumbent Distributor,Cluster UUID,Block Serial Number,Node Vendor,Model Family,Model Group,BIOS Vendor,BIOS Version,BIOS Revision,BIOS ROM Size (in MiB),BMC Manufacturer,BMC Version,Storage Controller Manufacturer,Storage Controller Part Number,Storage Controller Version,Satadom Device Model,Satadom Version,NIC Manufacturer,NIC Version,NIC Firmware Version,NIC Location,Drive Configuration,SSD Part No,SSD Version,HDD Part No,HDD Version,NVME Part No,NVME Version,M.2 SSD Part No,M.2 SSD Version,M.2 HDD Part No,M.2 HDD Version,CPU Cores,Enabled Core Count,CPU Sockets,CPU Core Count Per Socket,CPU Version,Processor Family,CPU Max Speed,CPU Speed,GPU Vendor,GPU Sub-Vendor,GPU Device,GPU Sub Device,GPU Class,GPU Revision,GPU Slot,No. of GPUs,Total Memory Capacity,Quantity Of Memory Sticks Per Node,Memory Capacity Per Node (in GiB),Used Memory Capacity (in GiB),Available Memory Capacity,Total Storage Capacity,Used Storage Capacity,Available Storage Capacity,Total SSD Capacity,Used SSD Capacity,Available SSD Capacity,Total HDD Capacity,Used HDD Capacity,Available HDD Capacity,No. of SSDs,No. of HDDs,No. of NVMes,No. of M.2 SSDs,No. of M.2 HDDs,VM Count,Hypervisor Type,Hypervisor Version,LCM Version,Install Country,Install Zip,Last Pulse Date,Contract Coverage,Contract Start Date,Prior Contract End Date,Contract End Date,Primary Contact,CVM vCPU,CVM Memory,CVM Uptime,Customer Experience Manager (CXM),Theater,Region,Sub Region
021ab9a7-2c6c-4f0c-81ff-648094a17e7c,"J105G357",ThinkAgile HX665 V3 CN,Not Found,"-","WC-CGY-NXE",Not Found,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","Not Found","Not Found",00061755-a6a5-3a82-390b-043201f0fd0a,"J105G357","Lenovo","HX Genoa",Unknown,"Lenovo","KAE112O-2.11",2.11,31.25,"Lenovo","2.12","-","-","-","Not Found","-","Broadcom Inc. and subsidiaries(14e4)","1.10.2-218.0.67.0","225.0.151.0/pkg 225.1.103.0","eth0
eth1","All NVMe","-","-","-","-","INTEL SSDPF2KX076T1O","9CV10420","-","-","-","-","64","64","2","32","AMD EPYC 9374F 32-Core Processor","Genoa",4300,"3850","ASPEED Technology, Inc.","ASPEED Technology, Inc.","ASPEED Graphics Family","Subsystem device 2000","Display controller:VGA compatible controller:VGA controller","82","0000:65:00.0","1",1511.02,"24","62.96",1037.05,473.96,94.03,22.32,71.71,No data received in last 24 hours,20.27,-,-,0,-,-,-,"13",-,-,45,"AHV","20230302","3.2.1.71663","Not Found","Not Found",2025-10-22,"-",-,"-",-,"-",16,64.00 GiB,206 days and 16:16:21,"-","Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West"
02d2a403-6931-442a-8c3a-3a0e0215aa42,"MXQ1031913",HPE DX360-4 G10,Not Found,"-","WC-CGY-NXC",Not Found,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","Not Found","Not Found",0005bfe0-8958-715b-6f9b-d4f5ef1b0ce0,"MXQ1031913","HPE","DX Gen10",Unknown,"HPE","U32",2.62,62.50,"HPE","2.71.00","Adaptec",", 836259-001","5.00","Not Found","-","Intel Corporation(8086)","2.24.6","10.57.2","eth0
eth1","All SSD","VO007680JWZJL","HPD4","-","-","-","-","MR000480GXBGH","HPG1","-","-","10","10","1","10","Intel(R) Xeon(R) Gold 5215 CPU @ 2.50GHz, Not Specified","Cascade Lake
Unknown",4000,"2500","Matrox Electronics Systems Ltd.","Hewlett Packard Enterprise","MGA G200eH3","iLO5 VGA","Display controller:VGA compatible controller:VGA controller","2","0000:01:00.1","1",754.71,"12","62.89",503.57,251.14,28.78,17.55,11.23,27.94,15.65,14.35,-,0,-,4,-,"0",1,-,3,"AHV","20230302","3.2.1.71663","Not Found","Not Found",2025-10-22,"-",-,"-",-,"-",10,64.00 GiB,187 days and 23:03:36,"-","Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West"
0313afd1-43b2-4090-98bd-1619b527a085,"J105G35B",ThinkAgile HX665 V3 CN,Not Found,"-","WC-CGY-NXF",Not Found,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","Not Found","Not Found",00061882-393a-e34f-6b7e-3a7c76724c80,"J105G35B","Lenovo","HX Genoa",Unknown,"Lenovo","KAE112O-2.11",2.11,31.25,"Lenovo","2.12","-","-","-","Not Found","-","Mellanox Technologies(15b3)","23.10-2.1.3","26.35.1012 (LNV0000000037)","eth0
eth1","All NVMe","-","-","-","-","Micron_7450_MTFDKCB1T9TFR","E2MU200","-","-","-","-","64","64","2","32","AMD EPYC 9354 32-Core Processor","Genoa",3800,"3250","ASPEED Technology, Inc.
NVIDIA Corporation","ASPEED Technology, Inc.
NVIDIA Corporation","ASPEED Graphics Family
GA107GL [A2 / A16]","Subsystem device 0000
Subsystem device 14a9
Subsystem device 2000","Display controller:3D controller
Display controller:VGA compatible controller:VGA controller","161
82","0000:45:00.0
0000:45:00.4
0000:45:00.5
0000:45:00.6
0000:45:00.7
0000:45:01.0
0000:45:01.1
0000:45:01.2
0000:45:01.3
0000:45:01.4
0000:45:01.5
0000:45:01.6
0000:45:01.7
0000:45:02.0
0000:45:02.1
0000:45:02.2
0000:45:02.3
0000:46:00.0
0000:46:00.4
0000:46:00.5
0000:46:00.6
0000:46:00.7
0000:46:01.0
0000:46:01.1
0000:46:01.2
0000:46:01.3
0000:46:01.4
0000:46:01.5
0000:46:01.6
0000:46:01.7
0000:46:02.0
0000:46:02.1
0000:46:02.2
0000:46:02.3
0000:47:00.0
0000:47:00.4
0000:47:00.5
0000:47:00.6
0000:47:00.7
0000:47:01.0
0000:47:01.1
0000:47:01.2
0000:47:01.3
0000:47:01.4
0000:47:01.5
0000:47:01.6
0000:47:01.7
0000:47:02.0
0000:47:02.1
0000:47:02.2
0000:47:02.3
0000:48:00.0
0000:48:00.4
0000:48:00.5
0000:48:00.6
0000:48:00.7
0000:48:01.0
0000:48:01.1
0000:48:01.2
0000:48:01.3
0000:48:01.4
0000:48:01.5
0000:48:01.6
0000:48:01.7
0000:48:02.0
0000:48:02.1
0000:48:02.2
0000:48:02.3
0000:65:00.0","69",755.01,"24","31.46",698.67,56.34,27.40,11.00,16.40,No data received in last 24 hours,9.95,-,-,0,-,-,-,"2",-,-,7,"AHV","20230302","3.2.1.71663","Not Found","Not Found",2025-10-22,"-",-,"-",-,"-",16,64.00 GiB,173 days and 04:31:00,"-","Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West"
068dc631-9c58-4aa8-93db-680ac21d1d4e,"OM21AS032038",NX-1175S-G7,NX-SWO,"Valhalla","WC-VAL-NXA",EXPIRED,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","Ironclad TEK Inc.","Ingram Micro Canada",0005d9f3-3eae-2c27-0c08-3cecefeec058,"22SG5E030166","Nutanix","NX G7",NX-1175S-G7,"American Megatrends Inc.","PW80.001",5.14,31.25,"SuperMicro","7.15.00","Broadcom / LSI","SAS3008(C0)","16.00.10.00","Not Found","-","Intel Corporation(8086), Intel Corporation(8086)","5.19.9, 2.24.6","0x800006d1, 255.65535.255, 6.20 0x800041f9 1.3534.0","eth0
eth1
eth2
eth3","All SSD","SAMSUNG MZ7LH1T9HMLT-00005","HXT7B04Q","-","-","-","-","Micron_5300_MTFDDAV240TDS","D3MU001","-","-","8","8","1","8","Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz","Cascade Lake",4500,"2100","ASPEED Technology, Inc.","Super Micro Computer Inc","ASPEED Graphics Family","Subsystem device 0953","Display controller:VGA compatible controller:VGA controller","65","0000:03:00.0","1",124.97,"4","31.24",50.28,74.69,3.04,0.79,2.26,3.49,0.71,3.04,-,0,-,2,-,"0",1,-,2,"AHV","20230302","3.2.1.71663","CANADA (CA)","Not Found",2025-10-22,"Production: 24x7 service; NBD parts",2022-01-28,"-",2025-01-27,"ryan.kuffler@wcap.ca",8,32.00 GiB,82 days and 05:55:06,"-","Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West"
0b1e8619-dd7b-4a9b-8129-63c1f4a7fc29,"J105G35F",ThinkAgile HX665 V3 CN,Not Found,"-","WC-CGY-NXF",Not Found,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","Not Found","Not Found",00061882-393a-e34f-6b7e-3a7c76724c80,"J105G35F","Lenovo","HX Genoa",Unknown,"Lenovo","KAE112O-2.11",2.11,31.25,"Lenovo","2.12","-","-","-","Not Found","-","Mellanox Technologies(15b3)","23.10-2.1.3","26.35.1012 (LNV0000000037)","eth0
eth1","All NVMe","-","-","-","-","Micron_7450_MTFDKCB1T9TFR","E2MU200","-","-","-","-","64","64","2","32","AMD EPYC 9354 32-Core Processor","Genoa",3800,"3250","ASPEED Technology, Inc.
NVIDIA Corporation","ASPEED Technology, Inc.
NVIDIA Corporation","ASPEED Graphics Family
GA107GL [A2 / A16]","Subsystem device 0000
Subsystem device 14a9
Subsystem device 2000","Display controller:3D controller
Display controller:VGA compatible controller:VGA controller","161
82","0000:45:00.0
0000:45:00.4
0000:45:00.5
0000:45:00.6
0000:45:00.7
0000:45:01.0
0000:45:01.1
0000:45:01.2
0000:45:01.3
0000:45:01.4
0000:45:01.5
0000:45:01.6
0000:45:01.7
0000:45:02.0
0000:45:02.1
0000:45:02.2
0000:45:02.3
0000:46:00.0
0000:46:00.4
0000:46:00.5
0000:46:00.6
0000:46:00.7
0000:46:01.0
0000:46:01.1
0000:46:01.2
0000:46:01.3
0000:46:01.4
0000:46:01.5
0000:46:01.6
0000:46:01.7
0000:46:02.0
0000:46:02.1
0000:46:02.2
0000:46:02.3
0000:47:00.0
0000:47:00.4
0000:47:00.5
0000:47:00.6
0000:47:00.7
0000:47:01.0
0000:47:01.1
0000:47:01.2
0000:47:01.3
0000:47:01.4
0000:47:01.5
0000:47:01.6
0000:47:01.7
0000:47:02.0
0000:47:02.1
0000:47:02.2
0000:47:02.3
0000:48:00.0
0000:48:00.4
0000:48:00.5
0000:48:00.6
0000:48:00.7
0000:48:01.0
0000:48:01.1
0000:48:01.2
0000:48:01.3
0000:48:01.4
0000:48:01.5
0000:48:01.6
0000:48:01.7
0000:48:02.0
0000:48:02.1
0000:48:02.2
0000:48:02.3
0000:65:00.0","69",755.01,"24","31.46",702.09,52.92,27.40,11.31,16.09,No data received in last 24 hours,10.26,-,-,0,-,-,-,"2",-,-,6,"AHV","20230302","3.2.1.71663","Not Found","Not Found",2025-10-22,"-",-,"-",-,"-",16,64.00 GiB,173 days and 04:16:29,"-","Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West"
13e9dc8f-7c91-4fa2-a338-564250aa0b25,"2M222907YJ",HPE DX385-12 Gen10 Plus,Not Found,"-","WC-CGY-NXB",Not Found,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","Not Found","Not Found",0005bc41-a88b-e6a0-6a7b-9440c9b3e5dc,"2M222907YJ","HPE","DX Gen10 Plus",Unknown,"HPE","A42",2.40,62.50,"HPE","2.48.00","Adaptec",", 836259-002
836266-001","3.53","Not Found","-","Mellanox Technologies(15b3)","23.10-2.1.3","16.29.1016 (MT_0000000416)","eth0
eth1","HDD + SSD","VK003840GWSRV","HPG4","MB012000JWDFD","HPD2","-","-","MR000480GXBGH","HPG1","-","-","32","32","2","16","AMD EPYC 7282 16-Core Processor","Rome",3700,"2800","Matrox Electronics Systems Ltd.","Hewlett Packard Enterprise","MGA G200eH3","iLO5 VGA","Display controller:VGA compatible controller:VGA controller","2","0000:61:00.1","1",1007.13,"32","31.47",212.71,794.42,120.62,74.86,45.77,6.98,3.98,3.52,109.14,63.38,53.81,2,10,"0",1,-,3,"AHV","20230302","3.2.1.71663","Not Found","Not Found",2025-10-22,"-",-,"-",-,"-",12,40.00 GiB,187 days and 03:07:35,"-","Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West"
1f49ae39-3a06-47cc-ae49-d0f03bc173ff,"OM225S042810",NX-1175S-G8,NX-SWO,"Calgary","WC-CGY-NXD",Under Support,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","Ironclad TEK Inc.","Ingram Micro Canada",0005e704-225b-e742-16fd-3ceceffe1ca0,"22SH5N290339","Nutanix","NX G8",NX-1175S-G8,"American Megatrends International, LLC.","WW20.005",5.22,31.25,"SuperMicro","8.01.09","Broadcom / LSI","SAS3816(A0)","25.00.00.01","Not Found","-","Broadcom Inc. and subsidiaries(14e4), Intel Corporation(8086)","1.10.2-226.0.141.0, 5.19.9","218.0.226.0/pkg 218.0.300.0, 0x800016dc, 1.3082.0","eth0
eth1
eth2
eth3","All SSD","KRM61RUG3T84","0103","-","-","-","-","-","-","-","-","12","12","1","12","Intel(R) Xeon(R) Gold 5317 CPU @ 3.00GHz","Ice Lake",4500,"3000","ASPEED Technology, Inc.","Super Micro Computer Inc","ASPEED Graphics Family","Subsystem device 1b62","Display controller:VGA compatible controller:VGA controller","82","0000:04:00.0","1",502.83,"8","62.85",242.20,260.64,13.87,6.45,7.42,13.97,5.81,9.19,-,0,-,4,-,"0",-,-,9,"AHV","20230302","3.2.1.71663","CANADA (CA)","T2C 3C2",2025-10-22,"Production: 24x7 service; NBD parts",2022-08-09,"-",2026-12-07,"ryan.kuffler@wcap.ca",12,32.00 GiB,89 days and 03:36:24,"-","Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West"
20054619-0888-4217-808d-4962a9deccc9,"OM226S016685",NX-1175S-G8,NX-SWO,"Resthaven","WC-RST-NXA",Under Support,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","Ironclad TEK Inc.","Ingram Micro Canada",0005e716-153b-a19e-276d-3ceceffe1e48,"22SG5N310011","Nutanix","NX G8",NX-1175S-G8,"American Megatrends International, LLC.","WW20.005",5.22,31.25,"SuperMicro","8.01.07","Broadcom / LSI","SAS3816(A0)","25.00.00.01","Not Found","-","Broadcom Inc. and subsidiaries(14e4), Intel Corporation(8086)","1.10.2-226.0.141.0, 5.19.9","218.0.226.0/pkg 218.0.300.0, 0x80001373, 1.2829.0","eth0
eth1
eth2
eth3","All SSD","SAMSUNG MZ7LH1T9HMLT-00005","HXT7B04Q","-","-","-","-","-","-","-","-","12","12","1","12","Intel(R) Xeon(R) Gold 5317 CPU @ 3.00GHz","Ice Lake",4500,"3000","ASPEED Technology, Inc.","Super Micro Computer Inc","ASPEED Graphics Family","Subsystem device 1b62","Display controller:VGA compatible controller:VGA controller","82","0000:04:00.0","1",124.92,"2","62.46",48.32,76.61,3.04,0.19,2.86,3.49,0.17,3.58,-,0,-,2,-,"0",-,-,3,"AHV","20230302","3.2.1.71663","CANADA (CA)","Not Found",2025-10-22,"Production: 24x7 service; NBD parts",2022-08-03,"2025-08-01",2026-08-01,"ryan.kuffler@wcap.ca",12,32.00 GiB,128 days and 17:06:00,"-","Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West"
22f2e8a7-ca98-431a-9aa4-cf8b4d559506,"J105G35A",ThinkAgile HX665 V3 CN,Not Found,"-","WC-CGY-NXF",Not Found,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","Not Found","Not Found",00061882-393a-e34f-6b7e-3a7c76724c80,"J105G35A","Lenovo","HX Genoa",Unknown,"Lenovo","KAE112O-2.11",2.11,31.25,"Lenovo","2.12","-","-","-","Not Found","-","Mellanox Technologies(15b3)","23.10-2.1.3","26.35.1012 (LNV0000000037)","eth0
eth1","All NVMe","-","-","-","-","Micron_7450_MTFDKCB1T9TFR","E2MU200","-","-","-","-","64","64","2","32","AMD EPYC 9354 32-Core Processor","Genoa",3800,"3250","ASPEED Technology, Inc.
NVIDIA Corporation","ASPEED Technology, Inc.
NVIDIA Corporation","ASPEED Graphics Family
GA107GL [A2 / A16]","Subsystem device 0000
Subsystem device 14a9
Subsystem device 2000","Display controller:3D controller
Display controller:VGA compatible controller:VGA controller","161
82","0000:45:00.0
0000:45:00.4
0000:45:00.5
0000:45:00.6
0000:45:00.7
0000:45:01.0
0000:45:01.1
0000:45:01.2
0000:45:01.3
0000:45:01.4
0000:45:01.5
0000:45:01.6
0000:45:01.7
0000:45:02.0
0000:45:02.1
0000:45:02.2
0000:45:02.3
0000:46:00.0
0000:46:00.4
0000:46:00.5
0000:46:00.6
0000:46:00.7
0000:46:01.0
0000:46:01.1
0000:46:01.2
0000:46:01.3
0000:46:01.4
0000:46:01.5
0000:46:01.6
0000:46:01.7
0000:46:02.0
0000:46:02.1
0000:46:02.2
0000:46:02.3
0000:47:00.0
0000:47:00.4
0000:47:00.5
0000:47:00.6
0000:47:00.7
0000:47:01.0
0000:47:01.1
0000:47:01.2
0000:47:01.3
0000:47:01.4
0000:47:01.5
0000:47:01.6
0000:47:01.7
0000:47:02.0
0000:47:02.1
0000:47:02.2
0000:47:02.3
0000:48:00.0
0000:48:00.4
0000:48:00.5
0000:48:00.6
0000:48:00.7
0000:48:01.0
0000:48:01.1
0000:48:01.2
0000:48:01.3
0000:48:01.4
0000:48:01.5
0000:48:01.6
0000:48:01.7
0000:48:02.0
0000:48:02.1
0000:48:02.2
0000:48:02.3
0000:65:00.0","69",755.01,"24","31.46",450.13,304.87,27.41,11.22,16.19,No data received in last 24 hours,10.14,-,-,0,-,-,-,"2",-,-,6,"AHV","20230302","3.2.1.71663","Not Found","Not Found",2025-10-22,"-",-,"-",-,"-",16,64.00 GiB,173 days and 06:01:58,"-","Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West"
284d0444-a89e-431d-adfd-65cb5b7c6e03,"MXQ1031912",HPE DX360-4 G10,Not Found,"-","WC-CGY-NXC",Not Found,"WhiteCap Resources","Scott Sefcik","scott.sefcik@nutanix.com","Not Found","Not Found",0005bfe0-8958-715b-6f9b-d4f5ef1b0ce0,"MXQ1031912","HPE","DX Gen10",Unknown,"HPE","U32",2.62,62.50,"HPE","2.71.00","Adaptec",", 836259-001","5.00","Not Found","-","Intel Corporation(8086)","2.24.6","10.57.2","eth0
eth1","HDD + SSD","VO007680JWZJL","HPD4","VO007680JWZJL","HPD4","-","-","MR000480GXBGH","HPG1","-","-","10","10","1","10","Intel(R) Xeon(R) Gold 5215 CPU @ 2.50GHz, Not Specified","Cascade Lake
Unknown",4000,"2500","Matrox Electronics Systems Ltd.","Hewlett Packard Enterprise","MGA G200eH3","iLO5 VGA","Display controller:VGA compatible controller:VGA controller","2","0000:01:00.1","1",754.71,"12","62.89",429.00,325.70,28.76,16.47,12.29,27.94,14.71,15.29,20.95,0,22.50,4,2,"0",1,-,2,"AHV","20230302","3.2.1.71663","Not Found","Not Found",2025-10-22,"-",-,"-",-,"-",10,64.00 GiB,187 days and 23:00:48,"-","Americas","Americas North Enterprise & Canada","Canada Enterprise/Comm West"
